timestamp,ta1,ta2,ta3,ta4,ta5,ta6,ta7
1581142021.675351540,0.236624,48.3407,-1.83221,-22.8052,1.33817,1.06233,-0.317732
1581142021.682220514,0.41152,49.1277,-1.75021,-22.6062,1.33729,1.03163,-0.313393
1581142021.721404238,-0.34722,52.4456,-2.34706,-23.605,1.35314,0.980896,-0.31673
1581142021.728122132,-0.20576,52.0341,-2.20457,-23.4115,1.34961,0.95987,-0.311724
1581142021.734443160,0.133744,51.6483,-2.03116,-23.0915,1.34609,0.9305,-0.317398
1581142021.741287828,0.280348,50.9744,-1.94782,-22.9826,1.30472,0.929498,-0.312725
1581142021.748094568,0.23148,50.2286,-1.96126,-22.8186,1.28887,0.899795,-0.307385
1581142021.754728927,0.056584,49.6962,-2.02175,-22.6493,1.30031,0.850733,-0.287026
1581142021.761337456,-0.151748,49.192,-2.12795,-22.6412,1.3056,0.854738,-0.283355
1581142021.768705118,-0.254628,49.1277,-2.20457,-22.9248,1.28711,0.876098,-0.29003
1581142021.775474256,-0.318928,48.8114,-2.21667,-22.734,1.29767,0.853403,-0.305049
1581142021.782324993,-0.190328,48.4539,-2.19113,-22.7985,1.25894,0.869423,-0.30338
1581142021.788645880,0.023148,48.6519,-2.04057,-23.0552,1.30384,0.873094,-0.333418
1581142021.838308027,-0.108024,48.6648,-2.11988,-22.9638,1.34961,0.900128,-0.275345
1581142021.845054139,-0.156892,48.3999,-2.13736,-22.7797,1.33289,0.882106,-0.303714
1581142021.851342256,-0.133744,48.7908,-2.14811,-23.0458,1.32144,0.911476,-0.295704
1581142021.857680628,0.108024,49.0969,-2.00562,-22.9275,1.33201,0.926828,-0.30605
1581142021.864337565,0.352364,48.7985,-1.86985,-22.8617,1.31,0.934838,-0.298374
1581142021.871706487,0.614708,48.7419,-1.79188,-22.9813,1.32584,0.929165,-0.30605
1581142021.878469426,0.650716,49.1586,-1.76769,-22.9033,1.36018,0.895456,-0.278683
1581142021.885207397,0.498968,49.6241,-1.86044,-23.0848,1.34345,0.915815,-0.285024
1581142021.891675276,0.190328,49.5907,-2.03788,-23.3711,1.3681,0.912477,-0.27668
1581142021.898557619,0.043724,49.4107,-2.14946,-23.1265,1.36282,0.879436,-0.284356
1581142021.906183614,-0.018004,49.1277,-2.12391,-22.8966,1.35138,0.882106,-0.275679
1581142021.946404207,0.043724,48.7342,-2.06208,-22.828,1.34169,0.890449,-0.299042
