timestamp,fx,fy,fz,tx,ty,tz
1581074618.762962649,-1.63225,2.67987,0.49361,1.8249,1.50244,0.231686
1581074618.769194328,-1.64258,2.43451,0.593298,1.77668,1.4682,0.233882
1581074618.775857456,-1.65429,2.34554,0.804215,1.75891,1.43848,0.235254
1581074618.782075232,-1.5948,2.58908,0.956388,1.82997,1.44415,0.231965
1581074618.789059871,-1.79591,2.81164,1.25087,1.89443,1.46709,0.227132
1581074618.795131323,-2.00332,3.06891,1.34695,1.96356,1.4947,0.221546
1581074618.801873985,-2.26618,3.14277,1.11332,1.99693,1.52457,0.217655
1581074618.807997187,-2.24996,2.99794,1.00831,1.93971,1.4833,0.220948
1581074618.814759260,-2.05754,2.88414,1.06177,1.92609,1.45328,0.221445
1581074618.822123742,-2.14692,2.77078,0.831253,1.9484,1.47968,0.219986
1581074618.828611817,-2.38418,2.81375,0.549385,2.00662,1.53631,0.214818
1581074618.872204949,-2.39178,2.97197,0.37235,2.07364,1.5733,0.212026
1581074618.878203594,-1.87575,3.84623,1.41666,2.3059,1.64435,0.207346
1581074618.885009966,-2.08523,3.85016,1.02928,2.35606,1.70259,0.207459
1581074618.890955241,-2.23045,3.72954,0.88171,2.32214,1.70308,0.2105
1581074618.897935035,-1.87944,3.52604,0.986806,2.25859,1.64294,0.218939
1581074618.904076272,-1.8003,3.49022,0.825018,2.2646,1.6466,0.221404
1581074618.910697988,-1.82731,3.54554,1.02051,2.30136,1.67011,0.220615
1581074618.949905594,-2.06531,4.19491,1.33918,2.55407,1.80288,0.20598
1581074618.956117678,-2.23317,4.11635,1.14386,2.51917,1.80072,0.208662
1581074618.962962239,-2.08519,4.08426,1.24371,2.49654,1.77205,0.21144
1581074618.969731105,-1.77701,4.03047,1.34669,2.48565,1.73522,0.213806
1581074618.975796144,-1.90416,4.11495,1.28303,2.53654,1.7716,0.208316
1581074619.019731126,-2.24719,3.97762,1.2269,2.50381,1.80607,0.188849
1581074619.026226242,-2.20829,4.03155,1.19714,2.50868,1.80514,0.18968
1581074619.032703755,-2.14625,4.18111,1.23304,2.55685,1.82119,0.18771
1581074619.039054779,-2.3839,4.33204,1.11138,2.61901,1.87297,0.18366
1581074619.045240140,-2.28891,4.42796,1.06492,2.63967,1.86729,0.182076
1581074619.051714131,-2.25331,4.36468,1.03667,2.60852,1.84782,0.184665
1581074619.058195734,-2.26881,4.33805,1.1106,2.60731,1.8477,0.182822
1581074619.097233340,-2.06884,4.47884,1.48023,2.68368,1.83822,0.170582
1581074619.103630396,-2.31887,4.44194,1.33364,2.6855,1.86484,0.170243
1581074619.109814378,-2.46463,4.52337,1.28291,2.72472,1.89443,0.167698
1581074619.115966669,-2.19658,4.46834,1.29696,2.70414,1.85551,0.169378
1581074619.123747509,-2.00288,4.43589,1.35416,2.69959,1.83294,0.171843
1581074619.167159619,-2.40377,4.8001,1.22511,2.87629,1.93954,0.170985
1581074619.173877612,-2.49245,4.79358,1.12035,2.85596,1.93566,0.175479
1581074619.179985915,-2.25905,4.8671,1.31649,2.86246,1.90817,0.178446
1581074619.186985741,-2.11463,4.79964,1.44997,2.84537,1.88885,0.182307
1581074619.193167528,-2.02668,4.83246,1.5682,2.86686,1.88932,0.182687
1581074619.199791918,-2.33021,4.88536,1.32559,2.91494,1.94319,0.18041
1581074619.206176786,-2.32287,4.78513,1.51604,2.87255,1.92085,0.182224
1581074619.212725066,-2.29338,4.80078,1.68759,2.87947,1.91863,0.18156
1581074619.220173852,-2.18917,4.77952,1.76756,2.88133,1.90806,0.18069
1581074619.226834398,-2.3356,4.96298,1.66235,2.95864,1.95358,0.175132
1581074619.233810627,-2.677,4.96071,1.23238,2.959,1.98427,0.173606
1581074619.308995541,-2.13726,5.11744,1.75765,2.99073,1.89103,0.152271
1581074619.315352969,-2.17806,5.26301,1.71344,3.04004,1.9109,0.149214
1581074619.322669927,-2.36409,5.30221,1.56567,3.06238,1.93586,0.149027
1581074619.329179309,-2.51726,5.37575,1.2281,3.09783,1.9664,0.147434
1581074619.337335617,-2.31406,5.11047,1.15144,2.98891,1.89626,0.157465
1581074619.341941478,-2.30832,5.02466,1.03916,2.97541,1.89082,0.159515
1581074619.348133702,-2.17814,4.93974,1.08978,2.97425,1.88018,0.160724
1581074619.354727952,-2.40309,4.98209,0.963195,3.00436,1.91448,0.158495
1581074619.361016580,-2.51301,5.05278,1.05701,3.01884,1.92745,0.156448
1581074619.367663106,-2.39244,4.97998,1.3015,2.96656,1.8843,0.160828
1581074619.373827499,-2.29348,5.11501,1.38073,3.00603,1.88476,0.158786
1581074619.380095926,-2.01589,5.1187,1.48591,3.00834,1.8537,0.160487
