timestamp,x,y,z,a,b,c
1581302319.276404982,0.0100239,-0.0102401,-6.91931e-14,-nan,-nan,-nan
1581302319.282745811,0.010667,-0.0114973,-5.34815e-14,-nan,-nan,-nan
1581302319.288876721,0.0121955,-0.0137343,-4.84942e-14,-nan,-nan,-nan
1581302319.296680528,0.0107807,-0.0119265,-4.86132e-14,-nan,-nan,-nan
1581302319.302918632,0.0125022,-0.0138606,-4.95517e-14,-nan,-nan,-nan
1581302319.309511914,0.00978682,-0.0108105,-4.01344e-14,-nan,-nan,-nan
1581302319.315709734,0.0109001,-0.0121527,-4.50706e-14,-nan,-nan,-nan
1581302319.321897753,0.0122447,-0.0126394,-8.50516e-14,-nan,-nan,-nan
1581302319.328598680,0.0114849,-0.0109341,-1.13276e-13,-nan,-nan,-nan
1581302319.334898214,0.0135763,-0.012034,-1.64926e-13,-nan,-nan,-nan
1581302319.378127158,0.0118543,-0.0113845,-1.14425e-13,-nan,-nan,-nan
1581302319.384655782,0.0112976,-0.0122305,-6.42129e-14,-nan,-nan,-nan
1581302319.391376217,0.0113477,-0.0123043,-5.47497e-14,-nan,-nan,-nan
1581302319.398870928,0.0123062,-0.0132556,-6.59915e-14,-nan,-nan,-nan
1581302319.453673789,0.0117792,-0.0117424,-1.00142e-13,-nan,-nan,-nan
1581302319.459890435,0.0130091,-0.0124892,-1.19387e-13,-nan,-nan,-nan
1581302319.466059851,0.0105344,-0.0107888,-7.7733e-14,-nan,-nan,-nan
1581302319.472699039,0.0116432,-0.0122222,-8.27809e-14,-nan,-nan,-nan
1581302319.479526723,0.0126557,-0.0133342,-8.76101e-14,-nan,-nan,-nan
1581302319.485675208,0.0118518,-0.0124044,-8.38766e-14,-nan,-nan,-nan
1581302319.492991362,0.0105552,-0.0109163,-7.60029e-14,-nan,-nan,-nan
1581302319.536825718,0.00187156,-0.00190781,-1.39652e-14,-nan,-nan,-nan
1581302319.543001084,0.0788314,-0.0787757,-6.71777e-13,-nan,-nan,-nan
1581302319.549627177,0.0112678,-0.0113031,-9.1777e-14,-nan,-nan,-nan
1581302319.555920550,0.012228,-0.0126983,-8.54776e-14,-nan,-nan,-nan
1581302319.562562174,0.0109635,-0.0115951,-7.06283e-14,-nan,-nan,-nan
1581302319.568794339,0.0112558,-0.0120745,-6.56403e-14,-nan,-nan,-nan
1581302319.575046538,0.0127375,-0.0138866,-7.32428e-14,-nan,-nan,-nan
1581302319.581560304,0.0115005,-0.0123548,-6.96275e-14,-nan,-nan,-nan
1581302319.587909412,0.0123995,-0.0129857,-8.56385e-14,-nan,-nan,-nan
1581302319.595588301,0.0115204,-0.0118084,-8.84929e-14,-nan,-nan,-nan
1581302319.601859545,0.0128481,-0.0129673,-1.09123e-13,-nan,-nan,-nan
1581302319.608574258,0.0121075,-0.0121902,-1.06887e-13,-nan,-nan,-nan
1581302319.649989647,0.0123308,-0.0122414,-1.08741e-13,-nan,-nan,-nan
1581302319.656652561,0.0104638,-0.0107841,-7.52627e-14,-nan,-nan,-nan
1581302319.662794534,0.0117886,-0.0125038,-7.97439e-14,-nan,-nan,-nan
1581302319.669016096,0.0134208,-0.01439,-8.44971e-14,-nan,-nan,-nan
1581302319.675663678,0.0108866,-0.0115236,-7.28207e-14,-nan,-nan,-nan
1581302319.681764947,0.0114781,-0.0119346,-8.14676e-14,-nan,-nan,-nan
1581302319.687920977,0.0116723,-0.0118801,-9.23536e-14,-nan,-nan,-nan
1581302319.694630116,0.014218,-0.0144923,-1.21781e-13,-nan,-nan,-nan
1581302319.700765908,0.0114488,-0.0115322,-1.028e-13,-nan,-nan,-nan
1581302319.706947796,0.01188,-0.0118992,-1.04113e-13,-nan,-nan,-nan
1581302319.712986968,0.0142365,-0.0145632,-1.19946e-13,-nan,-nan,-nan
1581302319.755719606,0.0117222,-0.0120888,-9.01254e-14,-nan,-nan,-nan
1581302319.762622610,0.0119716,-0.0127483,-7.83488e-14,-nan,-nan,-nan
1581302319.768862506,0.0103265,-0.0110062,-6.44028e-14,-nan,-nan,-nan
1581302319.775097575,0.0110459,-0.0116103,-7.28811e-14,-nan,-nan,-nan
1581302319.781512647,0.0128895,-0.013389,-9.61931e-14,-nan,-nan,-nan
1581302319.787759051,0.0120503,-0.0121499,-1.06525e-13,-nan,-nan,-nan
1581302319.794833643,0.0122967,-0.0121226,-1.15709e-13,-nan,-nan,-nan
1581302319.801026512,0.0139077,-0.0135107,-1.35362e-13,-nan,-nan,-nan
1581302319.807567115,0.0112766,-0.0110223,-1.09765e-13,-nan,-nan,-nan
1581302319.813698357,0.0118155,-0.0115169,-1.14258e-13,-nan,-nan,-nan
1581302319.819740466,0.0125565,-0.0126296,-1.12305e-13,-nan,-nan,-nan
1581302319.825995336,0.0144306,-0.0149258,-1.19024e-13,-nan,-nan,-nan
1581302319.868893965,0.0117871,-0.0125302,-7.87609e-14,-nan,-nan,-nan
1581302319.875154302,0.0130041,-0.0133533,-9.89855e-14,-nan,-nan,-nan
1581302319.881070379,0.0116834,-0.011782,-9.7444e-14,-nan,-nan,-nan
1581302319.888093817,0.0127131,-0.0127964,-1.14417e-13,-nan,-nan,-nan
1581302319.895683363,0.0115199,-0.0116179,-1.01412e-13,-nan,-nan,-nan
1581302319.901852705,0.0119841,-0.0121264,-1.03366e-13,-nan,-nan,-nan
1581302319.908031024,0.0134059,-0.0135929,-1.09049e-13,-nan,-nan,-nan
1581302319.914542865,0.0119346,-0.012246,-9.44987e-14,-nan,-nan,-nan
1581302319.920773785,0.011087,-0.0119795,-7.18532e-14,-nan,-nan,-nan
1581302319.926849743,0.0121418,-0.0135371,-6.51637e-14,-nan,-nan,-nan
