timestamp,fx,fy,fz,tx,ty,tz
1581141022.629220003,-1.8379,2.27479,-2.71588,1.66786,1.48439,0.249734
1581141022.635529712,-1.85228,2.28007,-2.71465,1.67007,1.48549,0.2503
1581141022.642271113,-1.85469,2.27803,-2.70804,1.66911,1.48401,0.251321
1581141022.648912854,-1.85931,2.28284,-2.71544,1.66807,1.48262,0.252163
1581141022.655213867,-1.87093,2.28724,-2.72438,1.66735,1.48229,0.252834
1581141022.661468993,-1.88089,2.28068,-2.71969,1.66303,1.47993,0.253472
1581141022.668163014,-1.88633,2.2981,-2.69782,1.6691,1.48225,0.253139
1581141022.674448257,-1.87985,2.2844,-2.70815,1.66194,1.47704,0.253426
1581141022.681144305,-1.88114,2.28125,-2.71191,1.66242,1.47722,0.253353
1581141022.723274285,-1.8802,2.27037,-2.70687,1.65914,1.47469,0.25349
1581141022.767140118,-2.11656,2.7438,-0.490656,1.89462,1.54907,0.216853
1581141022.773283601,-1.98013,2.82229,0.214713,1.90502,1.51805,0.216809
1581141022.780042080,-1.85139,2.94897,0.847816,1.92797,1.4889,0.215541
1581141022.786400756,-2.07126,3.04263,1.01808,1.95071,1.49925,0.214236
1581141022.793190667,-2.01194,2.74933,1.14717,1.85124,1.42711,0.219445
1581141022.800011050,-1.83171,2.67939,1.37841,1.83937,1.38243,0.220898
1581141022.806449139,-2.08044,2.85578,1.33309,1.92407,1.42956,0.216547
1581141022.813223939,-2.27663,2.88567,1.22254,1.94309,1.44166,0.214086
1581141022.819904000,-2.40541,3.00229,1.10111,1.99108,1.45956,0.21177
1581141022.827443235,-2.38496,2.89765,1.10572,1.95867,1.42674,0.213104
1581141022.834128572,-2.36866,2.94807,1.05549,1.99171,1.42649,0.211201
1581141022.873047829,-2.19627,3.99122,2.09269,2.35395,1.52054,0.197589
1581141022.916482316,-1.74919,3.32173,1.85011,2.19136,1.40112,0.215498
1581141022.924578754,-1.87717,3.37722,2.08897,2.22859,1.42976,0.212722
1581141022.931139757,-2.08815,3.48642,2.09459,2.26877,1.46761,0.21113
1581141022.937469572,-2.19494,3.67245,2.14582,2.32979,1.49932,0.20801
1581141022.944236209,-1.6911,3.67677,2.56929,2.31355,1.43162,0.212742
1581141022.951159932,-1.53424,3.82753,2.64815,2.36491,1.43571,0.21169
1581141022.957465823,-1.62803,3.84067,2.73345,2.37678,1.44646,0.211024
1581141022.964284225,-2.04972,3.92813,2.55427,2.42465,1.50648,0.20435
1581141022.971055212,-2.18073,4.05685,2.16909,2.48821,1.54786,0.198098
1581141022.977313791,-2.06472,3.99266,2.15807,2.4482,1.51061,0.198163
1581141022.984088767,-1.89706,3.91454,2.35612,2.41831,1.47782,0.19841
1581141023.027290173,-2.08881,3.87757,2.55649,2.4187,1.48945,0.186983
1581141023.033973839,-2.22035,3.89166,2.47257,2.4385,1.50908,0.183629
1581141023.040324357,-2.35254,3.88585,2.53964,2.44412,1.52002,0.182641
1581141023.047113532,-2.2146,3.95374,2.31642,2.45944,1.50641,0.180414
1581141023.053505131,-2.12016,4.02739,2.35055,2.4953,1.50859,0.178362
1581141023.060229201,-2.42726,4.09411,2.25566,2.52451,1.54674,0.174872
