timestamp,ta1,ta2,ta3,ta4,ta5,ta6,ta7
1581141313.394545010,0.36008,48.189,-1.76769,-22.3468,1.31968,1.02829,-0.332417
1581141313.438466989,0.113168,52.4611,-2.10644,-23.4074,1.31968,0.973554,-0.334419
1581141313.444883806,0.120884,52.2064,-2.10644,-23.3631,1.31704,0.944183,-0.331082
1581141313.451534964,0.084876,51.9132,-2.11988,-22.9961,1.3188,0.902798,-0.318399
1581141313.458435884,0.005144,51.3988,-2.08762,-23.0028,1.31176,0.894121,-0.326075
1581141313.464802885,0,50.5526,-2.05536,-22.8859,1.32144,0.888447,-0.301378
1581141313.472455260,0.015432,50.0871,-2.06477,-22.6748,1.28359,0.874096,-0.307385
1581141313.478875864,0.005144,49.2281,-2.09031,-22.6439,1.27302,0.868756,-0.307719
1581141313.485518554,0.079732,49.0506,-2.03519,-22.8738,1.30207,0.884108,-0.318065
1581141313.492350769,0.005144,48.6031,-2.01234,-22.5982,1.27742,0.846061,-0.314728
1581141313.498679642,-0.033436,48.423,-2.0809,-22.8227,1.30384,0.856407,-0.335087
1581141313.505418406,0.07716,48.7831,-2.09972,-22.9894,1.29943,0.848731,-0.327744
1581141313.547775462,0.254628,49.0429,-1.9989,-22.7662,1.29239,0.872093,-0.335754
1581141313.554893316,0.07716,48.4384,-2.00562,-22.7447,1.31528,0.878101,-0.3194
1581141313.561854299,-0.015432,48.3279,-2.06073,-22.8939,1.30472,0.878768,-0.310723
1581141313.568554124,-0.126028,48.6313,-2.17365,-23.07,1.33641,0.886111,-0.318399
1581141313.575365247,-0.061728,49.03,-2.12257,-22.8738,1.34081,0.878434,-0.303047
1581141313.581604620,0.01286,48.7291,-2.02982,-22.7931,1.28975,0.887779,-0.321069
1581141313.588331056,0.123456,48.6519,-1.98815,-22.7487,1.31792,0.889782,-0.303047
1581141313.594622374,0.21862,49.0763,-1.98815,-22.7165,1.3144,0.888781,-0.305049
1581141313.635703149,0.277776,48.7985,-1.94916,-23.0257,1.32673,0.899795,-0.337423
1581141313.642454101,0.28292,49.0094,-1.93975,-23.2649,1.32673,0.910475,-0.326409
1581141313.648702156,0.3215,49.3541,-1.94782,-23.2004,1.33025,0.908806,-0.339759
1581141313.655306598,0.367796,49.0172,-1.95992,-22.9584,1.33289,0.918485,-0.321069
1581141313.698604773,-0.023148,48.6313,-2.14677,-22.9208,1.30384,0.879769,-0.304048
1581141313.704972838,0.074588,48.5851,-2.08762,-22.8092,1.30384,0.865084,-0.310389
1581141313.711654377,0.169752,48.6159,-2.06746,-23.1265,1.28711,0.902798,-0.31406
1581141313.718509654,0.172324,48.5799,-2.04326,-22.828,1.30207,0.893787,-0.32207
1581141313.724967613,0.200616,48.4616,-2.04192,-22.5121,1.25365,0.886111,-0.314394
1581141313.731622166,0.300924,48.6031,-1.98008,-22.8119,1.30648,0.879769,-0.309388
1581141313.739531682,0.429524,48.8783,-1.94782,-23.0727,1.30295,0.898126,-0.307719
1581141313.746292011,0.408948,48.832,-1.97067,-22.8442,1.31968,0.873762,-0.301044
1581141313.786562412,0.421808,48.2558,-1.90883,-22.7837,1.33201,0.888781,-0.340093
1581141313.792889502,0.357508,48.4024,-1.94647,-22.8738,1.31528,0.892118,-0.34877
1581141313.799550755,0.249484,48.1813,-2.02175,-22.9853,1.31088,0.912811,-0.331749
1581141313.806811689,0.241768,48.1195,-2.00965,-22.7326,1.31792,0.899461,-0.331082
1581141313.850809515,0.468104,48.2378,-1.92228,-23.0297,1.32144,0.894121,-0.311057
1581141313.857356617,0.36008,48.5876,-1.95588,-23.113,1.35842,0.891117,-0.318399
1581141313.864677201,0.30864,48.4976,-2.00562,-23.0041,1.36282,0.889782,-0.307052
