timestamp,tdc,tac,pdc,pac1,pac2,pac3,pac4,pac5,pac6,pac7,pac8,pac9,pac10,pac11,pac12,pac13,pac14,pac15,pac16,pac17,pac18,pac19,pac20,pac21,pac22,ele1,ele2,ele3,ele4,ele5,ele6,ele7,ele8,ele9,ele10,ele11,ele12,ele13,ele14,ele15,ele16,ele17,ele18,ele19
1581073930.880911774,10,61,81,986,975,965,953,934,920,891,883,868,847,844,825,806,791,779,760,734,708,701,679,658,629,67,13,14,28,11,28,11,2,5,1,55,8,12,22,20,24,1,15,20,
1581073930.890925512,10,60,78,613,586,561,524,483,453,426,403,377,333,287,268,241,228,209,181,127,99,100,81,42,4,68,11,15,26,10,26,8,1,4,0,59,6,10,21,17,20,2,14,19,
1581073930.900890305,10,61,70,20,57,94,100,116,154,201,217,238,274,299,316,347,377,410,403,413,424,435,436,454,487,67,10,12,25,8,23,5,3,6,1,52,3,8,15,13,15,3,13,16,
1581073930.911038678,10,62,63,497,500,523,527,530,519,534,571,575,574,592,599,621,632,649,669,680,676,659,640,615,590,64,8,11,22,7,22,2,2,4,0,46,1,7,14,13,13,1,10,13,
1581073930.921051191,10,61,59,564,578,588,588,590,584,540,518,510,497,485,493,492,483,465,462,457,461,474,505,505,536,58,8,11,20,7,19,1,2,4,0,45,4,8,15,14,14,1,10,13,
1581073930.931008229,10,61,57,512,494,479,469,446,461,469,436,406,382,357,350,342,332,331,320,309,305,273,278,290,292,48,8,11,16,7,16,2,3,2,1,52,7,8,17,14,15,0,10,13,
1581073930.940943809,10,61,57,284,291,316,306,285,291,297,290,277,295,281,245,256,266,249,218,205,181,184,198,216,191,42,6,11,13,6,14,0,0,1,2,57,9,10,19,14,17,0,12,15,
1581073930.950885327,10,63,55,151,136,133,118,139,158,145,150,158,181,189,184,186,162,169,167,182,166,146,129,124,116,39,4,10,11,4,12,1,1,0,1,59,9,12,21,17,18,0,11,13,
1581073930.960883559,11,64,53,123,131,139,147,152,157,164,147,156,168,178,175,205,225,214,199,223,217,194,197,197,201,41,7,11,13,4,13,1,0,0,1,54,8,10,19,14,16,0,11,12,
1581073930.970919894,10,65,52,196,224,223,193,174,174,174,157,146,145,145,134,126,126,126,127,139,159,178,172,164,172,41,6,11,13,6,13,2,2,0,2,46,5,8,15,12,14,1,10,13,
1581073930.980896298,11,64,51,196,201,195,220,233,233,238,252,253,231,208,225,228,217,202,190,185,149,139,117,91,72,41,6,9,14,7,13,3,3,0,1,44,5,9,14,13,14,0,10,12,
1581073930.990972387,11,64,48,87,106,101,92,93,107,117,130,148,173,188,187,191,218,213,209,208,225,205,178,180,176,42,5,10,13,6,13,1,1,1,1,48,7,8,16,13,15,0,10,12,
1581073931.000954016,10,64,48,149,119,113,116,108,93,88,67,53,47,40,31,24,16,24,43,63,91,103,106,110,136,42,6,11,13,6,13,2,3,0,1,43,5,8,13,12,12,0,10,11,
1581073931.010971099,11,64,49,130,126,148,141,100,110,107,118,107,105,89,62,39,54,50,35,1,2,3,7,9,15,36,7,9,11,5,12,0,3,1,2,48,7,10,16,13,16,0,9,12,
1581073931.020977453,10,64,49,12,31,31,6,39,26,15,16,42,64,68,58,64,55,34,13,15,4,20,18,10,0,36,6,9,11,5,12,2,2,1,2,51,8,11,17,13,15,0,10,11,
1581073931.031078970,10,63,49,31,56,54,89,83,78,74,94,86,80,84,101,103,80,66,45,68,78,79,77,56,42,37,6,10,11,5,12,2,3,1,2,54,8,11,17,14,17,1,8,13,
1581073931.041097433,11,63,53,39,47,70,108,109,84,94,131,132,119,115,110,131,132,166,128,122,141,179,192,183,156,35,5,10,10,5,11,0,1,0,0,50,8,10,16,14,16,1,10,13,
