timestamp,fx,fy,fz,tx,ty,tz
1581148653.781582090,-1.93173,2.13068,-2.81085,1.62212,1.46343,0.221414
1581148653.788442835,-1.9276,2.12943,-2.79108,1.62445,1.46452,0.222389
1581148653.833638312,-2.73344,2.85201,-2.59181,1.93153,1.69543,0.200144
1581148653.839754612,-2.81915,3.04892,-2.47883,1.9745,1.71353,0.196228
1581148653.846378378,-2.67144,3.11305,-2.08291,1.97788,1.68731,0.196308
1581148653.852570414,-2.38182,2.90277,-1.77271,1.90938,1.6171,0.20114
1581148653.859466894,-2.33669,2.85425,-1.05272,1.91918,1.60644,0.199969
1581148653.865571287,-2.30028,2.9883,-0.400717,1.95845,1.60149,0.198173
1581148653.872320735,-2.31899,3.07557,0.116585,1.97772,1.58906,0.198114
1581148653.879515531,-1.99979,3.05664,0.694802,1.94758,1.51498,0.201874
1581148653.886455988,-2.0075,2.88669,0.89053,1.89697,1.47149,0.20384
1581148653.892569443,-2.05432,2.54524,0.770533,1.81314,1.42434,0.208448
1581148653.899347641,-2.16957,2.51282,0.726351,1.83376,1.42812,0.206633
1581148653.950444957,-1.92316,2.5183,1.19009,1.82948,1.37817,0.209972
1581148653.956785891,-2.3608,3.55387,1.41777,2.22597,1.48321,0.210438
1581148653.963621836,-2.39773,3.77458,1.71803,2.30914,1.52822,0.205491
1581148653.970312276,-2.19035,3.88206,1.88169,2.33813,1.5262,0.205025
1581148653.977673993,-2.35783,3.99293,1.91546,2.37469,1.56422,0.204131
1581148653.983839125,-2.17826,3.82892,1.89915,2.30739,1.5195,0.209843
1581148653.990574566,-1.81366,3.73582,1.78135,2.27135,1.47266,0.214688
1581148653.996803886,-1.88162,3.53467,1.62703,2.23374,1.47245,0.215678
1581148654.003475515,-2.13392,3.56375,1.33221,2.27656,1.52443,0.210797
1581148654.009671981,-2.14006,3.40055,1.15479,2.22376,1.50276,0.211315
1581148654.016334386,-1.88475,3.27709,1.58902,2.16941,1.45,0.214151
1581148654.022439884,-1.75093,3.13905,1.93408,2.11923,1.41364,0.213782
1581148654.068966055,-1.78058,3.86564,2.26258,2.3822,1.50725,0.193767
1581148654.075684400,-2.0347,3.96581,1.99068,2.41959,1.54835,0.191643
1581148654.081781902,-2.12004,3.87418,2.08135,2.36622,1.52612,0.193933
1581148654.088715371,-2.07038,3.89784,2.30189,2.38413,1.53021,0.19246
1581148654.094763494,-1.98725,3.87398,2.38868,2.38948,1.52522,0.188694
1581148654.102371220,-2.26593,3.9751,2.35,2.4323,1.57106,0.184302
1581148654.108646524,-2.30033,3.91,2.17083,2.40436,1.55915,0.184879
