timestamp,ta1,ta2,ta3,ta4,ta5,ta6,ta7
1581137369.856384971,0.246912,48.5233,-1.9626,-22.6157,1.30648,1.067,-0.348437
1581137369.863497012,0.480964,49.5213,-1.87388,-22.6076,1.30031,1.04631,-0.341428
1581137369.870589583,0.56584,50.6298,-1.90346,-22.9517,1.31264,1.063,-0.331415
1581137369.877217980,0.60442,51.3422,-1.92362,-23.0445,1.32232,1.04531,-0.328078
1581137369.884332079,0.583844,52.1087,-1.92631,-23.2233,1.31088,1.03763,-0.322738
1581137369.892394919,0.357508,52.5022,-2.05401,-23.5297,1.33201,1.04765,-0.320068
1581137369.900280238,-0.028292,52.5742,-2.26641,-23.5634,1.33377,0.995581,-0.328745
1581137369.939515244,0.419236,49.1689,-1.9048,-22.8119,1.29239,0.938843,-0.302713
1581137369.946268920,0.41152,48.9837,-1.88867,-23.1493,1.28975,0.982899,-0.316397
1581137369.954127582,0.393516,48.6211,-1.89002,-22.9477,1.30736,0.98657,-0.294035
1581137369.960331237,0.226336,48.6751,-1.96933,-23.0942,1.29239,0.970216,-0.301712
1581137370.003391673,0.506684,49.3618,-1.8927,-23.2219,1.33729,0.958869,-0.277681
1581137370.009529876,0.522116,48.9734,-1.89405,-23.1547,1.34961,0.97589,-0.280351
1581137370.016312901,0.480964,48.3227,-1.86851,-22.8267,1.32937,0.94652,-0.273009
1581137370.023252669,0.37294,48.5465,-1.87657,-22.9719,1.33289,0.987571,-0.281686
1581137370.030153929,0.21862,48.8937,-2.01503,-23.2797,1.33377,1.00059,-0.288361
1581137370.036603889,0.1286,48.7574,-2.07418,-22.9799,1.30472,0.997584,-0.290364
1581137370.043243002,0.172324,48.531,-2.02713,-22.8496,1.34521,0.971551,-0.289029
1581137370.050187108,0.252056,48.6674,-1.98142,-22.9302,1.36546,0.971217,-0.278015
1581137370.057441126,0.239196,49.3258,-1.97739,-23.2622,1.36458,0.996249,-0.27134
1581137370.064337611,0.174896,49.6704,-2.10241,-23.3268,1.34697,0.999586,-0.264331
1581137370.071251127,0.151748,49.421,-2.1387,-23.2569,1.33377,1.00826,-0.261328
1581137370.077587727,0.203188,48.9837,-2.06746,-22.9195,1.33377,0.981897,-0.266
1581137370.120656478,0.661004,48.9066,-1.79861,-22.8522,1.30472,0.991242,-0.309054
1581137370.127095351,0.534976,48.8628,-1.8712,-22.8052,1.31264,0.991576,-0.29003
1581137370.133522021,0.421808,48.8062,-1.98008,-22.9934,1.29063,1.0126,-0.290698
1581137370.140317965,0.27006,48.5851,-2.04057,-23.1009,1.27918,1.0126,-0.276013
1581137370.147293009,0.18004,48.4847,-2.05267,-22.9342,1.29855,1.00126,-0.272008
1581137370.154545242,0.162036,48.3793,-2.07552,-23.1036,1.29767,1.01427,-0.276346
1581137370.161180387,0.156892,48.6442,-2.11854,-22.9074,1.30472,1.00893,-0.28469
1581137370.201193635,0.426952,48.9374,-2.00831,-23.4061,1.34081,1.0333,-0.297706
1581137370.207689394,0.46296,49.0326,-2.00159,-23.113,1.30119,0.993579,-0.297039
1581137370.214449456,0.478392,48.9451,-1.96126,-23.1439,1.31528,1.00693,-0.290364
1581137370.221171175,0.55298,48.6031,-1.91556,-22.988,1.3188,0.994246,-0.291365
1581137370.264632726,0.393516,47.9266,-2.03116,-22.8267,1.31088,0.988572,-0.3194
1581137370.271424811,0.349792,48.1067,-2.04192,-22.9423,1.34785,1.01461,-0.314728
1581137370.278232630,0.331788,48.4796,-2.05133,-22.9598,1.35842,0.979561,-0.302379
1581137370.284529769,0.365224,48.6442,-2.08896,-23.3308,1.36194,1.03797,-0.293034
1581137370.291285562,0.486108,48.5568,-1.97874,-23.1883,1.35578,1.02195,-0.275011
1581137370.297713347,0.573556,48.2584,-1.88195,-22.9477,1.34873,1.00025,-0.292366
1581137370.304365016,0.612136,48.3536,-1.90749,-23.2313,1.35578,1.01928,-0.273343
1581137370.310680979,0.619852,48.5953,-1.91556,-23.2273,1.3549,1.03196,-0.281686
1581137370.350248562,0.47582,47.9292,-1.99083,-23.1184,1.33201,1.03964,-0.285691
1581137370.357339384,0.54012,47.4534,-1.94647,-22.8482,1.33465,1.02462,-0.282354
1581137370.364215273,0.52726,47.4894,-1.95454,-22.9463,1.31968,1.04464,-0.273343
1581137370.370640487,0.478392,47.7517,-1.94513,-22.8832,1.32584,1.00826,-0.281019
1581137370.414362392,0.558124,48.5645,-1.95319,-23.2421,1.31968,1.02095,-0.296705
1581137370.421169975,0.612136,48.171,-1.95588,-23.1816,1.31352,1.02562,-0.31139
1581137370.427452004,0.75874,47.9189,-1.85506,-22.863,1.29679,1.01894,-0.302379
1581137370.434298576,0.820468,47.6849,-1.76903,-22.9477,1.29679,1.0333,-0.30338
1581137370.440604645,0.843616,47.6026,-1.73274,-22.9154,1.30472,1.0116,-0.286693
1581137370.447343182,0.712444,47.4277,-1.85506,-22.9867,1.29151,1.02662,-0.285691
1581137370.455057398,0.635284,47.2528,-1.93572,-23.2125,1.33817,1.0373,-0.277014
1581137370.461534540,0.563268,47.4277,-1.93034,-23.109,1.30472,1.04631,-0.277681
1581137370.468321586,0.52726,47.6026,-1.91287,-22.9181,1.33817,0.999252,-0.276346
1581137370.474585753,0.48868,47.5897,-1.95992,-23.0714,1.32849,1.03597,-0.29003
1581137370.481421003,0.524688,47.7183,-1.98411,-23.1574,1.34609,1.01761,-0.28469
1581137370.524887663,0.596704,47.9318,-1.94379,-23.0835,1.33817,1.00626,-0.292366
1581137370.531605616,0.396088,47.9343,-2.02175,-23.2327,1.33465,1.04765,-0.27935
1581137370.538574889,0.426952,47.69,-2.02578,-23.1386,1.34433,1.05032,-0.275011
1581137370.545272916,0.43724,47.5022,-2.00562,-23.0902,1.38131,1.06367,-0.27401
1581137370.553465399,0.560696,47.3093,-1.95992,-22.8025,1.33641,1.05199,-0.29804
1581137370.600596464,0.576128,47.2733,-1.91421,-23.0673,1.34609,1.05365,-0.307385
1581137370.607072860,0.666148,47.3968,-1.87254,-23.4168,1.36898,1.08436,-0.300043
1581137370.613527477,0.820468,47.5228,-1.79188,-22.9799,1.3725,1.05299,-0.286693
1581137370.620294513,0.889912,47.5202,-1.77441,-23.0794,1.37074,1.061,-0.289363
1581137370.627125268,0.959355,47.636,-1.71661,-23.2905,1.36634,1.07602,-0.288695
1581137370.633415175,0.931063,47.5408,-1.74887,-23.3429,1.38131,1.08937,-0.283689
1581137370.640285158,0.820468,47.0701,-1.82952,-22.8966,1.35402,1.03897,-0.292366
1581137370.684169622,0.673864,46.8798,-1.79861,-22.9894,1.33465,1.05065,-0.279684
1581137370.690394333,0.65586,47.2013,-1.8712,-23.0472,1.34081,1.05065,-0.275345
1581137370.697200644,0.568412,47.1602,-1.93572,-23.0727,1.33113,1.06233,-0.273009
1581137370.703492966,0.568412,47.1344,-1.95051,-23.0485,1.32849,1.07501,-0.271674
1581137370.710423780,0.52726,47.0599,-1.95992,-22.8926,1.33025,1.05098,-0.277681
1581137370.716546712,0.473248,47.3248,-1.96933,-23.2071,1.31088,1.05599,-0.270673
1581137370.723356235,0.460388,47.5151,-1.95723,-23.3026,1.33905,1.065,-0.293701
1581137370.729745998,0.434668,47.3273,-2.00024,-23.1117,1.34169,1.07134,-0.281353
1581137370.736509938,0.447528,46.7049,-2.04864,-23.1359,1.30648,1.08136,-0.296038
1581137370.743554973,0.478392,46.6355,-1.96933,-22.941,1.31,1.02462,-0.303047
1581137370.750250046,0.550408,46.7615,-1.89539,-22.9127,1.3232,1.04097,-0.304048
1581137370.757534524,0.48868,46.8901,-1.9626,-23.2569,1.31528,1.08703,-0.302713
1581137370.807322479,0.722732,46.5429,-1.83625,-23.0243,1.32056,1.09137,-0.268003
1581137370.813693000,0.743308,46.5197,-1.7892,-22.8522,1.32408,1.05966,-0.272008
1581137370.820381988,0.884768,46.512,-1.72333,-23.1439,1.32849,1.10906,-0.27935
1581137370.859248796,0.66872,46.6689,-1.89808,-22.9423,1.3637,1.04831,-0.276013
1581137370.865617418,0.48868,46.1134,-1.99487,-22.8778,1.37074,1.05532,-0.270005
1581137370.871628131,0.50154,46.0568,-1.96395,-22.949,1.35138,1.05966,-0.272341
1581137370.878465183,0.511828,46.0748,-1.90346,-22.9329,1.3549,1.05899,-0.266668
1581137370.884640003,0.558124,45.9796,-1.8712,-22.8832,1.34961,1.05432,-0.270673
1581137370.891366441,0.61728,45.9385,-1.89136,-22.9988,1.36282,1.05499,-0.278349
1581137370.897470940,0.619852,46.0722,-1.89002,-23.0687,1.36194,1.05699,-0.275011
1581137370.904262537,0.5787,46.3191,-1.88733,-22.9679,1.37779,1.05299,-0.284356
1581137370.947735593,0.491252,46.2831,-1.93841,-23.3133,1.37162,1.06667,-0.297706
1581137370.955434652,0.558124,46.2394,-1.93706,-23.0136,1.37427,1.08102,-0.281353
1581137370.962439528,0.658432,45.7841,-1.8591,-22.9047,1.35138,1.06467,-0.27935
1581137370.969131046,0.805036,45.9462,-1.75962,-22.9154,1.34697,1.07268,-0.279684
1581137370.975643376,0.846188,46.3217,-1.72333,-23.156,1.35578,1.08636,-0.27401
