timestamp,x,y,z,a,b,c
1581133726.455792463,-2.11043e-05,-0.000227257,1.01254e-15,-nan,-nan,-nan
1581133726.494624482,-0.000271261,-0.000878562,-2.40096e-15,-nan,-nan,-nan
1581133726.501470194,-0.00116532,0.000137984,-4.07451e-14,-nan,-nan,-nan
1581133726.507677405,-0.00165024,0.000880399,-5.54066e-14,-nan,-nan,-nan
1581133726.514410497,-0.00193775,0.00187407,-6.30721e-14,-nan,-nan,-nan
1581133726.553421429,-0.00148357,0.00914881,-5.75116e-14,-nan,-nan,-nan
1581133726.559640236,-0.00179075,0.0148004,-9.92615e-14,-nan,-nan,-nan
1581133726.566265342,-0.00266154,0.019781,-1.48511e-13,-nan,-nan,-nan
1581133726.572533765,-0.00237594,0.0172476,-1.37041e-13,-nan,-nan,-nan
1581133726.579404678,-0.00279975,0.0209701,-1.71041e-13,-nan,-nan,-nan
1581133726.586628353,-0.00288708,0.0201898,-1.74904e-13,-nan,-nan,-nan
1581133726.630620482,-0.000485093,0.00335157,-2.92338e-14,-nan,-nan,-nan
1581133726.637325265,-0.00897378,0.126615,-5.66348e-13,-nan,-nan,-nan
1581133726.643839858,-0.00109879,0.019305,-6.66953e-14,-nan,-nan,-nan
1581133726.650527359,-0.00122354,0.0159544,-5.74662e-14,-nan,-nan,-nan
1581133726.658347237,-0.00191804,0.0167269,-9.69581e-14,-nan,-nan,-nan
1581133726.664740906,-0.00275749,0.0187046,-1.52222e-13,-nan,-nan,-nan
1581133726.671459878,-0.00254585,0.0145273,-1.37175e-13,-nan,-nan,-nan
1581133726.677847452,-0.00302851,0.0164426,-1.60051e-13,-nan,-nan,-nan
1581133726.685570894,-0.00261785,0.0144917,-1.36084e-13,-nan,-nan,-nan
1581133726.692455017,-0.00283869,0.015004,-1.44859e-13,-nan,-nan,-nan
1581133726.698785896,-0.00252107,0.0161747,-1.28902e-13,-nan,-nan,-nan
1581133726.705325520,-0.00194343,0.014863,-9.96773e-14,-nan,-nan,-nan
1581133726.782779149,-0.00197174,0.0157231,-9.96657e-14,-nan,-nan,-nan
1581133726.790600747,-0.00134853,0.0177642,-6.7929e-14,-nan,-nan,-nan
1581133726.796738267,-0.0013527,0.0178546,-6.74486e-14,-nan,-nan,-nan
1581133726.803601754,-0.00125023,0.0184452,-6.35138e-14,-nan,-nan,-nan
1581133726.809789556,-0.00126174,0.014979,-6.15991e-14,-nan,-nan,-nan
1581133726.816577728,-0.00190392,0.0150999,-9.70459e-14,-nan,-nan,-nan
1581133726.823313676,-0.00271334,0.0171645,-1.47109e-13,-nan,-nan,-nan
1581133726.829613911,-0.00285532,0.0163332,-1.59267e-13,-nan,-nan,-nan
1581133726.836337023,-0.00300363,0.0166109,-1.61062e-13,-nan,-nan,-nan
1581133726.842481573,-0.00287486,0.015491,-1.52175e-13,-nan,-nan,-nan
1581133726.849288774,-0.00292235,0.0163469,-1.54649e-13,-nan,-nan,-nan
1581133726.891075376,-0.00178361,0.0167033,-9.20124e-14,-nan,-nan,-nan
1581133726.931285018,-0.00217624,0.0156869,-1.13098e-13,-nan,-nan,-nan
1581133726.937535468,-0.00224713,0.0147932,-1.13068e-13,-nan,-nan,-nan
1581133726.944159840,-0.00193173,0.0168273,-9.97154e-14,-nan,-nan,-nan
1581133726.950553528,-0.00167252,0.0157529,-8.71757e-14,-nan,-nan,-nan
1581133726.956852623,-0.00170888,0.0173233,-9.04001e-14,-nan,-nan,-nan
1581133726.963663287,-0.00155344,0.0155056,-8.12121e-14,-nan,-nan,-nan
1581133726.970482228,-0.00187726,0.0158814,-9.32032e-14,-nan,-nan,-nan
1581133726.976735767,-0.0019888,0.0177636,-1.10289e-13,-nan,-nan,-nan
1581133726.983389074,-0.00188027,0.0163682,-1.04136e-13,-nan,-nan,-nan
1581133726.990747813,-0.00222922,0.0183462,-1.17319e-13,-nan,-nan,-nan
1581133726.997512099,-0.00187165,0.0138431,-9.63078e-14,-nan,-nan,-nan
1581133727.039965392,-0.00189981,0.0161074,-1.01372e-13,-nan,-nan,-nan
1581133727.046403504,-0.00172053,0.0194429,-1.00781e-13,-nan,-nan,-nan
1581133727.052796896,-0.00174754,0.0177402,-9.72874e-14,-nan,-nan,-nan
1581133727.059613002,-0.00177725,0.0151742,-9.36407e-14,-nan,-nan,-nan
1581133727.066345664,-0.00221865,0.0169537,-1.21139e-13,-nan,-nan,-nan
1581133727.072833569,-0.00231742,0.0168483,-1.27688e-13,-nan,-nan,-nan
1581133727.079548327,-0.00209479,0.0162663,-1.17667e-13,-nan,-nan,-nan
1581133727.086873493,-0.00227573,0.0179331,-1.29099e-13,-nan,-nan,-nan
1581133727.093700459,-0.00251694,0.0176528,-1.3619e-13,-nan,-nan,-nan
1581133727.100398466,-0.00201892,0.014156,-1.05416e-13,-nan,-nan,-nan
1581133727.106756439,-0.0019761,0.0174344,-1.07652e-13,-nan,-nan,-nan
1581133727.113465763,-0.00174191,0.0160229,-9.79081e-14,-nan,-nan,-nan
1581133727.157507690,-0.0017999,0.0165862,-9.704e-14,-nan,-nan,-nan
1581133727.163939713,-0.00221243,0.0164755,-1.16888e-13,-nan,-nan,-nan
1581133727.170793548,-0.00193808,0.0170001,-1.06935e-13,-nan,-nan,-nan
1581133727.177408675,-0.00191475,0.0163686,-1.06985e-13,-nan,-nan,-nan
1581133727.183761085,-0.00191756,0.0155733,-1.04407e-13,-nan,-nan,-nan
1581133727.190683244,-0.00171656,0.0169181,-9.38915e-14,-nan,-nan,-nan
1581133727.197220445,-0.00162865,0.01756,-9.04292e-14,-nan,-nan,-nan
1581133727.203737014,-0.00156135,0.0172691,-8.44982e-14,-nan,-nan,-nan
1581133727.210562089,-0.0014804,0.0152404,-7.6216e-14,-nan,-nan,-nan
1581133727.217878580,-0.00148967,0.0146451,-7.70449e-14,-nan,-nan,-nan
1581133727.224654179,-0.00209622,0.0207482,-1.13191e-13,-nan,-nan,-nan
1581133727.269530854,-0.00216752,0.0162686,-1.18953e-13,-nan,-nan,-nan
1581133727.308684476,-0.00158368,0.0170407,-8.79137e-14,-nan,-nan,-nan
1581133727.315890693,-0.00211568,0.0171893,-1.08857e-13,-nan,-nan,-nan
1581133727.322475345,-0.00185707,0.014741,-9.991e-14,-nan,-nan,-nan
1581133727.329261172,-0.00225632,0.0196557,-1.35873e-13,-nan,-nan,-nan
1581133727.335550376,-0.00193411,0.0153576,-1.08095e-13,-nan,-nan,-nan
1581133727.341709833,-0.00228265,0.0180509,-1.21956e-13,-nan,-nan,-nan
1581133727.348291826,-0.00193117,0.0154428,-1.02168e-13,-nan,-nan,-nan
1581133727.354657372,-0.00146053,0.0143565,-7.70556e-14,-nan,-nan,-nan
1581133727.361282277,-0.00151062,0.0195385,-8.62221e-14,-nan,-nan,-nan
1581133727.367670268,-0.00130832,0.015006,-7.1812e-14,-nan,-nan,-nan
1581133727.374294901,-0.00152787,0.018997,-8.50501e-14,-nan,-nan,-nan
1581133727.417556864,-0.00183818,0.0163802,-1.0231e-13,-nan,-nan,-nan
1581133727.424426742,-0.00237119,0.0167789,-1.31397e-13,-nan,-nan,-nan
1581133727.430592265,-0.00210956,0.0161253,-1.1784e-13,-nan,-nan,-nan
1581133727.437364989,-0.00220317,0.0170912,-1.22679e-13,-nan,-nan,-nan
1581133727.443722993,-0.00188976,0.0168128,-1.0023e-13,-nan,-nan,-nan
1581133727.450501197,-0.00141545,0.0159018,-7.9303e-14,-nan,-nan,-nan
1581133727.456783842,-0.00142077,0.018153,-8.3132e-14,-nan,-nan,-nan
1581133727.463597463,-0.00137676,0.0155725,-7.64613e-14,-nan,-nan,-nan
1581133727.469753248,-0.00159322,0.0177886,-8.94645e-14,-nan,-nan,-nan
1581133727.476812085,-0.0017411,0.017858,-9.57258e-14,-nan,-nan,-nan
1581133727.516614317,-0.00190279,0.0165125,-1.08703e-13,-nan,-nan,-nan
1581133727.559078168,-0.000319527,0.00287643,-1.87503e-14,-nan,-nan,-nan
1581133727.565698907,-0.00922558,0.10772,-5.08419e-13,-nan,-nan,-nan
1581133727.572550734,-0.00162666,0.0138973,-8.79744e-14,-nan,-nan,-nan
1581133727.579322198,-0.00211541,0.0168281,-1.15591e-13,-nan,-nan,-nan
1581133727.587372784,-0.00223801,0.0162645,-1.24272e-13,-nan,-nan,-nan
1581133727.593816189,-0.00245157,0.0165187,-1.35357e-13,-nan,-nan,-nan
