timestamp,pa1,pa2,pa3,pa4,pa5,pa6,pa7
1581135719.828161866,-0.145503,0.494505,0.234356,-1.19801,0.477348,-0.131929,-0.584269
1581135719.834568254,-0.145542,0.494365,0.234356,-1.19831,0.476911,-0.132006,-0.5838
1581135719.841238528,-0.145595,0.494164,0.234356,-1.1987,0.47634,-0.132099,-0.583166
1581135719.852498545,-0.14569,0.493748,0.234356,-1.19941,0.475321,-0.132233,-0.58207
1581135719.859424909,-0.145753,0.493434,0.234354,-1.19993,0.474593,-0.132329,-0.581277
1581135719.866266503,-0.145816,0.493073,0.234353,-1.20048,0.473791,-0.132494,-0.580439
1581135719.872571557,-0.145881,0.492662,0.234353,-1.20108,0.472946,-0.132681,-0.579536
1581135719.880496907,-0.145953,0.492214,0.234353,-1.20172,0.472056,-0.132886,-0.578534
1581135719.887580693,-0.146042,0.49174,0.234355,-1.20239,0.471104,-0.13311,-0.577483
1581135719.894119067,-0.146134,0.491241,0.234357,-1.20308,0.470104,-0.133348,-0.576385
1581135719.901086104,-0.146226,0.490723,0.234356,-1.20377,0.469119,-0.133586,-0.575311
1581135719.907360641,-0.146304,0.490273,0.234356,-1.20437,0.468284,-0.133771,-0.574399
1581135719.914247080,-0.146396,0.489762,0.234356,-1.20506,0.467301,-0.133947,-0.573349
1581135719.920474768,-0.146487,0.489253,0.234355,-1.20575,0.466327,-0.134104,-0.572295
1581135719.927307257,-0.146567,0.488816,0.234354,-1.20634,0.465516,-0.13422,-0.571404
1581135719.937345807,-0.146696,0.488095,0.234355,-1.20731,0.464175,-0.13441,-0.569946
1581135719.978456081,-0.146783,0.487605,0.234357,-1.20799,0.463249,-0.134538,-0.56892
1581135719.985222463,-0.147235,0.484886,0.234355,-1.21191,0.457986,-0.135475,-0.563142
1581135719.991988452,-0.147301,0.484502,0.234355,-1.21248,0.45723,-0.135627,-0.562302
1581135719.998367430,-0.147382,0.48407,0.234355,-1.21313,0.45635,-0.135804,-0.561301
1581135720.005000589,-0.147468,0.483647,0.234355,-1.21377,0.455472,-0.135986,-0.560319
1581135720.011499058,-0.147552,0.483225,0.234356,-1.21442,0.454584,-0.136153,-0.559316
1581135720.018340328,-0.147626,0.48285,0.234356,-1.21498,0.453831,-0.136281,-0.558486
1581135720.025118625,-0.147711,0.482419,0.234355,-1.21563,0.45296,-0.136428,-0.557498
1581135720.031432268,-0.147781,0.482055,0.234355,-1.21619,0.452214,-0.13657,-0.556659
1581135720.038188691,-0.147861,0.481633,0.234355,-1.21684,0.451337,-0.136768,-0.55569
1581135720.081087228,-0.148352,0.478962,0.234356,-1.22081,0.445976,-0.138065,-0.549801
1581135720.087434080,-0.148423,0.47858,0.234356,-1.22136,0.445235,-0.138176,-0.548967
1581135720.094316211,-0.148507,0.478138,0.234355,-1.22202,0.444387,-0.138302,-0.548012
1581135720.107919242,-0.148677,0.477265,0.234355,-1.22333,0.442699,-0.138551,-0.546106
1581135720.114309676,-0.148751,0.476883,0.234355,-1.22389,0.441967,-0.138657,-0.545288
1581135720.121158188,-0.148837,0.476433,0.234355,-1.22454,0.441129,-0.138786,-0.544351
1581135720.127491076,-0.148909,0.47605,0.234355,-1.2251,0.44042,-0.138923,-0.543536
1581135720.134163810,-0.148989,0.47561,0.234356,-1.22575,0.43959,-0.139138,-0.542595
1581135720.140951763,-0.149064,0.475168,0.234356,-1.2264,0.43875,-0.139359,-0.541639
1581135720.147298552,-0.149129,0.474786,0.234355,-1.22695,0.43804,-0.139547,-0.54086
1581135720.154146917,-0.149202,0.474346,0.234355,-1.2276,0.437222,-0.139762,-0.53994
