timestamp,va1,va2,va3,va4,va5,va6,va7
1581245952.843866118,-0.00607149,-0.0218267,-0.000153149,-0.0395548,-0.0809436,-0.0130438,0.0848748
1581245952.850825847,-0.00615956,-0.0247699,6.58409e-05,-0.0443301,-0.0850716,-0.0118677,0.0929389
1581245952.857542043,-0.00679813,-0.0320296,-8.72639e-06,-0.0548556,-0.102439,-0.0135265,0.112483
1581245952.897998639,-0.00121702,-0.00664279,0,-0.0108097,-0.0193312,-0.00245049,0.0204576
1581245952.903994499,-0.0633688,-0.348247,2.68028e-05,-0.508639,-0.879205,-0.136261,0.934809
1581245952.910768437,-0.0123067,-0.0673065,6.57241e-05,-0.0933185,-0.160199,-0.0245382,0.170773
1581245952.916999468,-0.0145305,-0.0779282,2.71781e-05,-0.107941,-0.180653,-0.0250998,0.194154
1581245952.923570129,-0.013136,-0.0698582,-9.53928e-05,-0.0969124,-0.162203,-0.021216,0.17218
1581245952.966896272,-0.0123629,-0.0715323,1.94596e-05,-0.0991921,-0.162944,-0.021397,0.174616
1581245952.973718872,-0.0127648,-0.0702992,0.000186013,-0.101622,-0.163417,-0.0267963,0.175518
1581245952.979894622,-0.0124892,-0.0667335,0,-0.0992088,-0.160529,-0.0264742,0.172457
1581245952.986635394,-0.0114175,-0.0597058,-9.35066e-05,-0.0889649,-0.144857,-0.023901,0.161781
1581245952.993803375,-0.0128447,-0.0650464,-4.42218e-05,-0.0959286,-0.158921,-0.0271756,0.175297
1581245953.000481113,-0.0122918,-0.0649958,-8.62716e-05,-0.0944703,-0.156549,-0.0254721,0.172129
1581245953.006851068,-0.0113245,-0.0579646,-0.000108096,-0.0846315,-0.138423,-0.0191443,0.152957
1581245953.012928187,-0.0144566,-0.0704954,-3.90849e-05,-0.105484,-0.173682,-0.0233162,0.1928
1581245953.051785497,-0.0114872,-0.0617742,1.2287e-05,-0.091991,-0.152436,-0.0245269,0.167146
1581245953.057895034,-0.00972049,-0.0586809,2.82581e-05,-0.08691,-0.144436,-0.0292745,0.155924
1581245953.063825784,-0.0122851,-0.0737307,-2.98192e-05,-0.107058,-0.174616,-0.0358316,0.189137
1581245953.070530089,-0.00932764,-0.0574305,1.79783e-05,-0.0831129,-0.133556,-0.0269854,0.146429
1581245953.114851410,-0.0114952,-0.0615427,1.10531e-05,-0.0915458,-0.146741,-0.0207892,0.160603
1581245953.120973788,-0.0119789,-0.0654608,-9.9066e-05,-0.0967501,-0.152884,-0.0240119,0.170452
1581245953.127776733,-0.0109506,-0.0599917,3.78212e-05,-0.0887109,-0.138412,-0.0230832,0.153714
1581245953.135542448,-0.0116434,-0.0648984,-7.0896e-05,-0.0955487,-0.148937,-0.0263351,0.165968
1581245953.142458192,-0.0112308,-0.0628611,5.20049e-05,-0.0916436,-0.144312,-0.024571,0.160001
1581245953.148795491,-0.0107883,-0.0607321,9.62682e-06,-0.0903323,-0.14034,-0.0239942,0.156314
1581245953.155498421,-0.0117562,-0.0654532,4.41204e-05,-0.0957704,-0.146864,-0.0263101,0.164763
1581245953.161810886,-0.0112557,-0.0616367,0,-0.0891593,-0.136919,-0.0244195,0.151143
1581245953.168538842,-0.0120657,-0.0647448,8.84385e-06,-0.0954125,-0.148519,-0.0235131,0.16006
1581245953.174928754,-0.0124834,-0.0660414,-4.49758e-05,-0.0977985,-0.149513,-0.0232759,0.161717
1581245953.181643827,-0.0112557,-0.0594281,0,-0.0870944,-0.134357,-0.0198157,0.146958
1581245953.224098551,-0.00199155,-0.0103264,-1.39579e-06,-0.0151238,-0.0234695,-0.00323452,0.0250173
1581245953.230550019,-0.0734386,-0.398658,-8.77421e-06,-0.584348,-0.888715,-0.150793,0.96399
1581245953.237927064,-0.0101282,-0.0588845,3.23547e-05,-0.0867372,-0.131764,-0.0236218,0.143551
1581245953.244429174,-0.0119778,-0.0728442,-1.97556e-05,-0.106348,-0.159414,-0.0300678,0.176783
1581245953.250672023,-0.00950718,-0.0575519,-8.92179e-06,-0.0834489,-0.12372,-0.020407,0.136252
1581245953.256963579,-0.0122467,-0.0724847,-6.76576e-05,-0.104875,-0.157964,-0.0237685,0.171725
1581245953.263814543,-0.00990677,-0.0573112,7.21717e-05,-0.0840451,-0.126229,-0.018821,0.136998
1581245953.269931374,-0.0106324,-0.0598387,9.66029e-06,-0.0903562,-0.1352,-0.019943,0.146943
1581245953.275812879,-0.0116527,-0.0625925,8.95446e-05,-0.0922667,-0.139602,-0.0212456,0.152789
1581245953.282557303,-0.0124205,-0.0665758,0,-0.0955099,-0.139803,-0.0220564,0.158055
1581245953.288867080,-0.0120464,-0.0618481,-4.8369e-05,-0.0895888,-0.128263,-0.0217126,0.147615
1581245953.328873621,-0.0122028,-0.0632688,-1.95433e-05,-0.0924685,-0.134407,-0.0257089,0.148771
1581245953.373481495,-0.0122836,-0.0629495,2.98971e-05,-0.0918205,-0.131123,-0.0198734,0.145438
1581245953.379858857,-0.0128503,-0.0653699,-0.000105694,-0.0945406,-0.134354,-0.0235603,0.149447
1581245953.386341914,-0.011982,-0.0620647,-0.000165751,-0.0899188,-0.12448,-0.024237,0.141903
