timestamp,x,y,z,a,b,c
1581238348.283476623,0.000113841,-5.55904e-05,-2.4989e-15,-nan,-nan,-nan
1581238348.290795936,0.00259625,-0.000750788,-2.59098e-14,-nan,-nan,-nan
1581238348.297569012,0.000508521,-8.64519e-05,-1.44938e-15,-nan,-nan,-nan
1581238348.303848706,0.000522511,-0.000113476,-2.93899e-15,-nan,-nan,-nan
1581238348.310569992,0.000471347,-9.15308e-05,-2.0053e-15,-nan,-nan,-nan
1581238348.324013743,0.000498883,-0.000105022,-2.59988e-15,-nan,-nan,-nan
1581238348.333965442,0.000453539,-9.69625e-05,-2.46935e-15,-nan,-nan,-nan
1581238348.336816163,0.000488412,-0.000126684,-4.05522e-15,-nan,-nan,-nan
1581238348.343421623,0.000448069,-8.99914e-05,-2.09322e-15,-nan,-nan,-nan
1581238348.350441206,0.000462016,-0.000107177,-3.0025e-15,-nan,-nan,-nan
1581238348.356616088,0.000434524,-9.12727e-05,-2.30803e-15,-nan,-nan,-nan
1581238348.363425828,0.000416443,-6.50878e-05,-8.01078e-16,-nan,-nan,-nan
1581238348.408764007,0.000679343,-0.000275652,-9.44469e-15,-nan,-nan,-nan
1581238348.415387569,-1.72128e-05,-0.00122071,-4.90674e-14,-nan,-nan,-nan
1581238348.421824158,-0.00192085,-0.0011807,-3.94744e-14,-nan,-nan,-nan
1581238348.428725037,-0.00247589,-0.00118546,-3.29024e-14,-nan,-nan,-nan
1581238348.435466967,-0.00368574,-0.00127592,-2.68986e-14,-nan,-nan,-nan
1581238348.441852156,-0.00555675,-0.00140871,-2.9409e-14,-nan,-nan,-nan
1581238348.448603853,-0.00651166,-0.00179958,-5.32546e-14,-nan,-nan,-nan
1581238348.487681072,-0.0144689,-0.00323474,-1.28217e-13,-nan,-nan,-nan
1581238348.495420361,-0.0203997,-0.0026517,-9.41595e-14,-nan,-nan,-nan
1581238348.501764091,-0.0198042,-0.00224508,-7.38539e-14,-nan,-nan,-nan
1581238348.508416102,-0.0217802,-0.00257701,-8.26807e-14,-nan,-nan,-nan
1581238348.551580440,-0.00479539,-0.0005399,-1.68157e-14,-nan,-nan,-nan
1581238348.558764162,-0.110229,-0.0145104,-5.1388e-13,-nan,-nan,-nan
1581238348.565341744,-0.0175199,-0.00316111,-1.14073e-13,-nan,-nan,-nan
