timestamp,x,y,z,a,b,c
1581238215.507888524,0.000202242,-8.90495e-05,-3.88253e-15,-nan,-nan,-nan
1581238215.573197678,0.00011337,-0.000659454,-1.7983e-14,-nan,-nan,-nan
1581238215.579500462,-0.00438113,-0.0018426,-4.35889e-14,-nan,-nan,-nan
1581238215.586153266,-0.00544916,-0.00173681,-4.86313e-14,-nan,-nan,-nan
1581238215.592478516,-0.0104115,-0.00222186,-6.58231e-14,-nan,-nan,-nan
1581238215.599146755,-0.0101197,-0.00201329,-6.38748e-14,-nan,-nan,-nan
1581238215.605406000,-0.0128968,-0.00229343,-7.81646e-14,-nan,-nan,-nan
1581238215.612255373,-0.0163365,-0.00245161,-8.47112e-14,-nan,-nan,-nan
1581238215.618441271,-0.0172891,-0.00241868,-8.21284e-14,-nan,-nan,-nan
1581238215.625074747,-0.0195696,-0.00283986,-1.00333e-13,-nan,-nan,-nan
1581238215.631234163,-0.0191864,-0.00322639,-1.29451e-13,-nan,-nan,-nan
1581238215.670459716,-0.0213921,-0.00342898,-1.38605e-13,-nan,-nan,-nan
1581238215.713528179,-0.0179235,-0.00265563,-9.14398e-14,-nan,-nan,-nan
1581238215.720954221,-0.0158387,-0.00224318,-6.30059e-14,-nan,-nan,-nan
1581238215.727182178,-0.0164081,-0.00212242,-6.2526e-14,-nan,-nan,-nan
1581238215.734077357,-0.0162248,-0.0024583,-7.57638e-14,-nan,-nan,-nan
1581238215.740446708,-0.0159546,-0.00271299,-8.82137e-14,-nan,-nan,-nan
1581238215.747012827,-0.0149908,-0.00271787,-9.57087e-14,-nan,-nan,-nan
1581238215.753402553,-0.0163142,-0.00292311,-1.0308e-13,-nan,-nan,-nan
1581238215.760129690,-0.0156739,-0.00280588,-1.02074e-13,-nan,-nan,-nan
1581238215.768173982,-0.015806,-0.00308941,-1.1189e-13,-nan,-nan,-nan
1581238215.774475952,-0.0154233,-0.00315735,-1.13395e-13,-nan,-nan,-nan
1581238215.781355654,-0.0131017,-0.00273942,-9.97272e-14,-nan,-nan,-nan
1581238215.825233337,-0.0161033,-0.00271188,-9.13e-14,-nan,-nan,-nan
1581238215.831965136,-0.0162929,-0.00376372,-1.50234e-13,-nan,-nan,-nan
1581238215.838285693,-0.017198,-0.0039013,-1.55383e-13,-nan,-nan,-nan
1581238215.845028512,-0.0137991,-0.003148,-1.21216e-13,-nan,-nan,-nan
1581238215.851407651,-0.0167008,-0.00360394,-1.42626e-13,-nan,-nan,-nan
1581238215.857541810,-0.0155897,-0.00334685,-1.3156e-13,-nan,-nan,-nan
1581238215.865389541,-0.0162187,-0.00284289,-9.88113e-14,-nan,-nan,-nan
1581238215.872130444,-0.0150114,-0.00244573,-7.72273e-14,-nan,-nan,-nan
1581238215.878418403,-0.0169252,-0.00251001,-7.89588e-14,-nan,-nan,-nan
1581238215.885170594,-0.0155991,-0.00217115,-6.50047e-14,-nan,-nan,-nan
1581238215.891488778,-0.016894,-0.00234464,-6.65407e-14,-nan,-nan,-nan
1581238215.898209250,-0.0173225,-0.0026949,-8.50279e-14,-nan,-nan,-nan
1581238215.942257904,-0.0156426,-0.00292388,-1.05586e-13,-nan,-nan,-nan
1581238215.949055405,-0.0168635,-0.00281656,-1.00968e-13,-nan,-nan,-nan
1581238215.956240982,-0.0162385,-0.00245951,-8.1135e-14,-nan,-nan,-nan
1581238215.963466347,-0.0166373,-0.0026096,-8.51453e-14,-nan,-nan,-nan
1581238215.970376421,-0.0164289,-0.00253519,-8.07164e-14,-nan,-nan,-nan
