timestamp,x,y,z,a,b,c
1581158556.745313449,-0.0177233,-0.00249035,-8.2777e-14,-nan,-nan,-nan
1581158556.751973122,-0.0159847,-0.00226891,-7.63231e-14,-nan,-nan,-nan
1581158556.758349791,-0.0189466,-0.00272021,-9.24328e-14,-nan,-nan,-nan
1581158556.764928400,-0.0146486,-0.00212922,-7.01557e-14,-nan,-nan,-nan
1581158556.771398112,-0.0179576,-0.00291029,-1.08595e-13,-nan,-nan,-nan
1581158556.777976187,-0.0157053,-0.00327236,-1.3104e-13,-nan,-nan,-nan
1581158556.786949250,-0.0154217,-0.00348492,-1.3683e-13,-nan,-nan,-nan
1581158556.793436984,-0.0164415,-0.00352322,-1.42602e-13,-nan,-nan,-nan
1581158556.803268984,-0.0155628,-0.00314519,-1.25573e-13,-nan,-nan,-nan
1581158556.843325910,-0.0162002,-0.00280739,-1.0177e-13,-nan,-nan,-nan
1581158556.849266426,-0.0170229,-0.00311835,-1.15765e-13,-nan,-nan,-nan
1581158556.856084552,-0.0143466,-0.00290066,-1.08035e-13,-nan,-nan,-nan
1581158556.862349710,-0.0177954,-0.00357976,-1.4549e-13,-nan,-nan,-nan
1581158556.868924712,-0.0162029,-0.00304364,-1.2144e-13,-nan,-nan,-nan
1581158556.875442592,-0.017443,-0.00281893,-9.90081e-14,-nan,-nan,-nan
1581158556.883085828,-0.0153092,-0.00222078,-6.96471e-14,-nan,-nan,-nan
1581158556.889364038,-0.016657,-0.00236632,-7.53271e-14,-nan,-nan,-nan
1581158556.895904954,-0.0163438,-0.00189983,-5.34452e-14,-nan,-nan,-nan
1581158556.902190793,-0.0171519,-0.00172998,-4.5144e-14,-nan,-nan,-nan
1581158556.908850809,-0.0176628,-0.00199478,-5.41407e-14,-nan,-nan,-nan
1581158556.961165301,-0.0162286,-0.00329756,-1.3103e-13,-nan,-nan,-nan
1581158556.967265840,-0.0168971,-0.00258373,-9.74332e-14,-nan,-nan,-nan
1581158556.973328509,-0.0190612,-0.00248147,-7.8577e-14,-nan,-nan,-nan
1581158556.981057414,-0.014837,-0.00179464,-4.8859e-14,-nan,-nan,-nan
1581158556.987339375,-0.0183893,-0.00205371,-5.30917e-14,-nan,-nan,-nan
1581158556.993965806,-0.0154331,-0.00169582,-4.62686e-14,-nan,-nan,-nan
1581158557.000827009,-0.0180037,-0.0020365,-5.42192e-14,-nan,-nan,-nan
1581158557.007149749,-0.0150467,-0.00191646,-5.6506e-14,-nan,-nan,-nan
1581158557.013352760,-0.0154516,-0.00242412,-8.10165e-14,-nan,-nan,-nan
1581158557.019936713,-0.0181639,-0.00342801,-1.32805e-13,-nan,-nan,-nan
1581158557.026056786,-0.0150777,-0.00325453,-1.34059e-13,-nan,-nan,-nan
1581158557.032228110,-0.015196,-0.00361652,-1.51502e-13,-nan,-nan,-nan
1581158557.075311839,-0.0165286,-0.00288951,-1.07559e-13,-nan,-nan,-nan
1581158557.082971875,-0.0153525,-0.0016853,-4.62313e-14,-nan,-nan,-nan
1581158557.089917756,-0.0150813,-0.00151328,-3.92809e-14,-nan,-nan,-nan
1581158557.096386619,-0.0196651,-0.00214582,-5.57264e-14,-nan,-nan,-nan
1581158557.103010855,-0.0155377,-0.00255412,-8.99668e-14,-nan,-nan,-nan
1581158557.109268748,-0.017512,-0.00347754,-1.42938e-13,-nan,-nan,-nan
1581158557.115956200,-0.0159642,-0.00345236,-1.45522e-13,-nan,-nan,-nan
1581158557.122120549,-0.0157811,-0.00357738,-1.50325e-13,-nan,-nan,-nan
1581158557.128468504,-0.0175326,-0.00406125,-1.75997e-13,-nan,-nan,-nan
1581158557.135073241,-0.0148338,-0.0034099,-1.41091e-13,-nan,-nan,-nan
1581158557.141310170,-0.0172303,-0.00339512,-1.3743e-13,-nan,-nan,-nan
1581158557.185002275,-0.00373172,-0.000491698,-1.76878e-14,-nan,-nan,-nan
1581158557.191919868,-0.103155,-0.0113668,-3.58794e-13,-nan,-nan,-nan
1581158557.198039127,-0.0160522,-0.0028416,-1.12425e-13,-nan,-nan,-nan
1581158557.204995713,-0.0161704,-0.00355264,-1.48914e-13,-nan,-nan,-nan
1581158557.211376989,-0.0177013,-0.00374268,-1.59801e-13,-nan,-nan,-nan
1581158557.218090880,-0.0173459,-0.00346029,-1.53404e-13,-nan,-nan,-nan
1581158557.224513731,-0.0169404,-0.00370151,-1.54061e-13,-nan,-nan,-nan
1581158557.231109102,-0.0148494,-0.00313593,-1.25866e-13,-nan,-nan,-nan
1581158557.270969551,-0.0166537,-0.00205044,-6.23503e-14,-nan,-nan,-nan
1581158557.278189387,-0.018063,-0.00233083,-7.21084e-14,-nan,-nan,-nan
1581158557.285508020,-0.0154848,-0.00255634,-9.83006e-14,-nan,-nan,-nan
1581158557.292156769,-0.0158138,-0.00303137,-1.24025e-13,-nan,-nan,-nan
1581158557.334313068,-0.0165818,-0.00316999,-1.25381e-13,-nan,-nan,-nan
1581158557.340876174,-0.0151796,-0.00185431,-5.78577e-14,-nan,-nan,-nan
1581158557.347251146,-0.0172675,-0.0020859,-6.2505e-14,-nan,-nan,-nan
1581158557.353975880,-0.015871,-0.00199848,-6.35645e-14,-nan,-nan,-nan
1581158557.360878462,-0.0172714,-0.00215796,-6.85601e-14,-nan,-nan,-nan
1581158557.367050253,-0.0157217,-0.0022067,-7.26757e-14,-nan,-nan,-nan
1581158557.373374008,-0.0176427,-0.00252913,-8.86806e-14,-nan,-nan,-nan
1581158557.380987997,-0.013867,-0.00205562,-7.47895e-14,-nan,-nan,-nan
1581158557.387293610,-0.0191386,-0.00312437,-1.10671e-13,-nan,-nan,-nan
1581158557.394085529,-0.0154741,-0.0026016,-9.77378e-14,-nan,-nan,-nan
1581158557.400899486,-0.016834,-0.00287711,-1.10804e-13,-nan,-nan,-nan
1581158557.444048974,-0.00279609,-0.000446194,-1.72694e-14,-nan,-nan,-nan
1581158557.451228678,-0.100388,-0.0140649,-4.933e-13,-nan,-nan,-nan
1581158557.458045282,-0.0162456,-0.00313844,-1.21831e-13,-nan,-nan,-nan
1581158557.464474874,-0.0170649,-0.00329005,-1.33353e-13,-nan,-nan,-nan
1581158557.471057446,-0.0161553,-0.00318129,-1.343e-13,-nan,-nan,-nan
1581158557.477319612,-0.0178965,-0.00367368,-1.54724e-13,-nan,-nan,-nan
1581158557.484989620,-0.0155671,-0.00314709,-1.30712e-13,-nan,-nan,-nan
1581158557.491351571,-0.0168179,-0.00344801,-1.41993e-13,-nan,-nan,-nan
1581158557.531473124,-0.01698,-0.00214167,-7.11774e-14,-nan,-nan,-nan
1581158557.537380040,-0.0210373,-0.00212161,-6.62331e-14,-nan,-nan,-nan
1581158557.543912287,-0.0167501,-0.00184288,-5.46137e-14,-nan,-nan,-nan
1581158557.550129189,-0.0149929,-0.00195714,-6.1649e-14,-nan,-nan,-nan
1581158557.594904469,-0.0165999,-0.00310303,-1.26213e-13,-nan,-nan,-nan
1581158557.601336915,-0.0172275,-0.00271792,-1.0282e-13,-nan,-nan,-nan
1581158557.608059962,-0.0170613,-0.00200927,-6.97713e-14,-nan,-nan,-nan
