timestamp,pa1,pa2,pa3,pa4,pa5,pa6,pa7
1581156786.402332958,-0.14546,0.494951,0.234339,-1.19797,0.476352,-0.132112,-0.583359
1581156786.445799269,-0.145693,0.49398,0.234335,-1.19979,0.473485,-0.132701,-0.580222
1581156786.452237598,-0.145747,0.493709,0.234336,-1.20022,0.472885,-0.132819,-0.579557
1581156786.458955922,-0.14582,0.493358,0.234338,-1.20076,0.472139,-0.132968,-0.578719
1581156786.465649251,-0.145892,0.492959,0.234338,-1.20134,0.471324,-0.133138,-0.577876
1581156786.472654134,-0.145957,0.492584,0.234338,-1.20187,0.470559,-0.1333,-0.577048
1581156786.478989645,-0.146036,0.492119,0.234337,-1.20253,0.469624,-0.133497,-0.576035
1581156786.485675860,-0.146119,0.491636,0.234336,-1.2032,0.468661,-0.133705,-0.574954
1581156786.491958013,-0.146191,0.491208,0.234336,-1.2038,0.467816,-0.133884,-0.574051
1581156786.499835286,-0.146287,0.490621,0.234335,-1.2046,0.466679,-0.134104,-0.572837
1581156786.506084558,-0.146359,0.490181,0.234335,-1.2052,0.465846,-0.134237,-0.571951
1581156786.512711658,-0.14644,0.489682,0.234336,-1.2059,0.464893,-0.13438,-0.570891
1581156786.588126595,-0.146917,0.486658,0.234338,-1.21013,0.459213,-0.13538,-0.564678
1581156786.594910510,-0.147407,0.484175,0.234338,-1.21376,0.454298,-0.136371,-0.559165
1581156786.601785665,-0.147507,0.483752,0.234337,-1.21441,0.453434,-0.136511,-0.558201
1581156786.608143272,-0.147594,0.483392,0.234337,-1.21495,0.452691,-0.136627,-0.557354
1581156786.615009937,-0.147694,0.48296,0.234337,-1.21559,0.45182,-0.136767,-0.556391
1581156786.621209628,-0.147778,0.482582,0.234337,-1.21615,0.451066,-0.136897,-0.555552
1581156786.629131301,-0.147872,0.482157,0.234336,-1.2168,0.450188,-0.137072,-0.554593
1581156786.635815437,-0.147978,0.481672,0.234336,-1.21753,0.449188,-0.137305,-0.553489
1581156786.642262194,-0.148069,0.481246,0.234338,-1.21817,0.448304,-0.137522,-0.552542
1581156786.648989676,-0.148145,0.48087,0.234338,-1.21872,0.447554,-0.137702,-0.551717
1581156786.655233468,-0.148235,0.480425,0.234338,-1.21936,0.44669,-0.137903,-0.550746
1581156786.662770981,-0.148328,0.47999,0.234338,-1.22,0.445826,-0.138103,-0.549787
1581156786.705678520,-0.148872,0.477242,0.234336,-1.22406,0.440516,-0.139152,-0.543818
1581156786.712032882,-0.148936,0.476864,0.234336,-1.22462,0.439811,-0.139313,-0.543011
1581156786.718088719,-0.148996,0.476484,0.234337,-1.22518,0.439092,-0.139475,-0.542203
1581156786.725037472,-0.149063,0.476038,0.234336,-1.22583,0.438258,-0.139671,-0.54127
1581156786.731210801,-0.14913,0.475599,0.234336,-1.22647,0.437438,-0.139861,-0.540358
1581156786.737763000,-0.149187,0.475217,0.234337,-1.22702,0.436734,-0.140005,-0.53956
1581156786.744005026,-0.149243,0.474837,0.234337,-1.22758,0.436016,-0.140128,-0.53879
1581156786.750138551,-0.149309,0.474395,0.234337,-1.22823,0.435184,-0.140265,-0.537868
1581156786.756903646,-0.149369,0.474013,0.234336,-1.22878,0.434485,-0.140381,-0.537086
1581156786.763166531,-0.149439,0.473571,0.234337,-1.22943,0.433686,-0.140511,-0.53618
1581156786.769679740,-0.149499,0.47319,0.234337,-1.22999,0.432984,-0.140626,-0.535396
1581156786.846205880,-0.149943,0.470721,0.234337,-1.23359,0.428439,-0.141681,-0.530384
1581156786.852870520,-0.150428,0.468086,0.234336,-1.23747,0.423632,-0.142708,-0.524979
1581156786.859067044,-0.150512,0.46765,0.234337,-1.23811,0.422837,-0.142872,-0.524076
1581156786.865625455,-0.150595,0.467205,0.234337,-1.23875,0.422064,-0.143048,-0.523188
1581156786.872096602,-0.150666,0.466821,0.234337,-1.23931,0.4214,-0.143197,-0.522428
1581156786.878842203,-0.15075,0.466378,0.234337,-1.23995,0.420618,-0.14338,-0.521566
1581156786.885137473,-0.15082,0.466005,0.234337,-1.24049,0.419944,-0.14354,-0.520835
1581156786.899910752,-0.150902,0.465567,0.234337,-1.24113,0.419159,-0.143722,-0.519963
1581156786.906209123,-0.151061,0.464669,0.234337,-1.24243,0.417617,-0.144051,-0.518261
1581156786.913102217,-0.151137,0.46423,0.234337,-1.24308,0.416848,-0.144181,-0.517403
1581156786.961295908,-0.151613,0.461105,0.234338,-1.24765,0.411409,-0.14526,-0.511351
1581156786.967944146,-0.151669,0.460725,0.234337,-1.2482,0.410763,-0.145414,-0.510622
1581156787.011956259,-0.152135,0.458055,0.234336,-1.25214,0.406321,-0.14647,-0.50543
1581156787.018237678,-0.152214,0.457624,0.234337,-1.25277,0.405609,-0.146622,-0.504589
1581156787.025050023,-0.152282,0.45725,0.234338,-1.25331,0.40499,-0.146762,-0.503867
1581156787.031770902,-0.15236,0.456812,0.234337,-1.25395,0.404253,-0.146943,-0.503029
1581156787.037969168,-0.152428,0.456437,0.234337,-1.25449,0.403633,-0.147104,-0.502302
1581156787.044971341,-0.15251,0.456009,0.234337,-1.25513,0.402925,-0.147294,-0.501481
1581156787.051109982,-0.15258,0.455634,0.234338,-1.25568,0.40232,-0.147452,-0.500759
