timestamp,x,y,z,a,b,c
1581134622.703702836,-8.41516e-05,-0.000384759,-1.10534e-15,-nan,-nan,-nan
1581134622.710606683,-9.3221e-05,-0.000396377,-1.4789e-15,-nan,-nan,-nan
1581134622.717427450,-9.11399e-05,-0.000417129,-1.16145e-15,-nan,-nan,-nan
1581134622.724581992,-9.84989e-05,-0.000402074,-1.75023e-15,-nan,-nan,-nan
1581134622.764934476,-0.000277608,-0.00119574,-1.03283e-15,-nan,-nan,-nan
1581134622.771706936,-0.000643503,-0.00183162,1.07709e-16,-nan,-nan,-nan
1581134622.815883542,-0.00145218,0.0039759,-4.25167e-14,-nan,-nan,-nan
1581134622.822802912,-0.00219979,0.0119751,-1.06751e-13,-nan,-nan,-nan
1581134622.830497272,-0.00232023,0.0154291,-1.24651e-13,-nan,-nan,-nan
1581134622.837477516,-0.00263909,0.0174382,-1.48732e-13,-nan,-nan,-nan
1581134622.843789558,-0.00272452,0.0174566,-1.54694e-13,-nan,-nan,-nan
1581134622.850497873,-0.00283585,0.0207313,-1.71487e-13,-nan,-nan,-nan
1581134622.856969193,-0.00242769,0.0217438,-1.53325e-13,-nan,-nan,-nan
1581134622.863861613,-0.00166305,0.0212954,-1.13979e-13,-nan,-nan,-nan
1581134622.870469010,-0.0016009,0.0215912,-1.04112e-13,-nan,-nan,-nan
1581134622.876802696,-0.00130578,0.0237112,-9.04019e-14,-nan,-nan,-nan
1581134622.883730677,-0.00099626,0.0185046,-6.87108e-14,-nan,-nan,-nan
1581134622.926959867,-0.00147077,0.0189709,-8.70817e-14,-nan,-nan,-nan
1581134622.940595421,-0.00238442,0.0187248,-1.26415e-13,-nan,-nan,-nan
1581134622.946797853,-0.00192937,0.014912,-1.00202e-13,-nan,-nan,-nan
1581134622.953653151,-0.00220565,0.0159952,-1.13349e-13,-nan,-nan,-nan
1581134622.959814732,-0.00190044,0.0146154,-9.23906e-14,-nan,-nan,-nan
1581134622.966727875,-0.00174278,0.0155239,-7.97641e-14,-nan,-nan,-nan
1581134622.972769819,-0.00161735,0.0155522,-8.20704e-14,-nan,-nan,-nan
1581134622.979499226,-0.00194647,0.0175901,-9.71114e-14,-nan,-nan,-nan
1581134622.985629884,-0.00238112,0.0132801,-1.15747e-13,-nan,-nan,-nan
1581134622.991912213,-0.00342321,0.0157522,-1.70874e-13,-nan,-nan,-nan
1581134622.998520606,-0.00322345,0.0145098,-1.68645e-13,-nan,-nan,-nan
1581134623.004913565,-0.00313861,0.0133986,-1.62574e-13,-nan,-nan,-nan
1581134623.053041609,-0.0018702,0.0164423,-9.60889e-14,-nan,-nan,-nan
1581134623.059799022,-0.00106096,0.0142555,-4.98361e-14,-nan,-nan,-nan
1581134623.065879401,-0.00127438,0.0160735,-6.2772e-14,-nan,-nan,-nan
1581134623.072650113,-0.00150975,0.017647,-8.02544e-14,-nan,-nan,-nan
1581134623.079466470,-0.00257036,0.0178966,-1.36957e-13,-nan,-nan,-nan
1581134623.085769573,-0.00249257,0.0141134,-1.29583e-13,-nan,-nan,-nan
1581134623.091951137,-0.00312452,0.017675,-1.63258e-13,-nan,-nan,-nan
1581134623.098761232,-0.00245868,0.0148495,-1.34332e-13,-nan,-nan,-nan
1581134623.104821323,-0.00255193,0.0164117,-1.40261e-13,-nan,-nan,-nan
1581134623.111555983,-0.00247779,0.0165789,-1.29937e-13,-nan,-nan,-nan
1581134623.117834063,-0.0020186,0.0161347,-1.07279e-13,-nan,-nan,-nan
1581134623.162548697,-0.00200552,0.0162958,-1.05409e-13,-nan,-nan,-nan
1581134623.201848234,-0.00184681,0.0165686,-9.7491e-14,-nan,-nan,-nan
1581134623.208558218,-0.00123135,0.0167074,-5.98082e-14,-nan,-nan,-nan
1581134623.214791895,-0.00125454,0.0169475,-6.0888e-14,-nan,-nan,-nan
1581134623.221595363,-0.00119237,0.0156788,-6.03345e-14,-nan,-nan,-nan
1581134623.229035643,-0.00165897,0.0174399,-8.97176e-14,-nan,-nan,-nan
1581134623.236091936,-0.00243144,0.0164389,-1.3006e-13,-nan,-nan,-nan
1581134623.242754206,-0.00259359,0.0148918,-1.39098e-13,-nan,-nan,-nan
1581134623.248938048,-0.00284051,0.0169966,-1.53039e-13,-nan,-nan,-nan
1581134623.255897934,-0.00287237,0.0185217,-1.60325e-13,-nan,-nan,-nan
1581134623.262547124,-0.00232473,0.014903,-1.25684e-13,-nan,-nan,-nan
1581134623.268888386,-0.00262698,0.0167762,-1.41362e-13,-nan,-nan,-nan
1581134623.311855269,-0.00184205,0.0155726,-9.45547e-14,-nan,-nan,-nan
1581134623.318622023,-0.00258123,0.0183987,-1.3919e-13,-nan,-nan,-nan
1581134623.324991809,-0.00241318,0.0168076,-1.30033e-13,-nan,-nan,-nan
1581134623.336272611,-0.00216271,0.014934,-1.12346e-13,-nan,-nan,-nan
1581134623.339626699,-0.00205836,0.0158986,-1.04917e-13,-nan,-nan,-nan
1581134623.346424681,-0.00182454,0.0162014,-9.17814e-14,-nan,-nan,-nan
1581134623.353096156,-0.00164264,0.0169995,-9.1652e-14,-nan,-nan,-nan
1581134623.392740253,-0.00127965,0.0168581,-7.11021e-14,-nan,-nan,-nan
1581134623.399671718,-0.00191963,0.0164422,-1.03132e-13,-nan,-nan,-nan
1581134623.406067181,-0.00259426,0.0166021,-1.41111e-13,-nan,-nan,-nan
1581134623.412963381,-0.00267593,0.016957,-1.49937e-13,-nan,-nan,-nan
1581134623.419691822,-0.00248383,0.0154444,-1.35198e-13,-nan,-nan,-nan
1581134623.462886238,-0.00205117,0.0166442,-1.13687e-13,-nan,-nan,-nan
1581134623.469731356,-0.00173714,0.0167757,-9.67695e-14,-nan,-nan,-nan
1581134623.476553817,-0.00186842,0.0171802,-1.03446e-13,-nan,-nan,-nan
1581134623.483491036,-0.00223412,0.0170534,-1.23576e-13,-nan,-nan,-nan
1581134623.489796557,-0.00239222,0.0155434,-1.30645e-13,-nan,-nan,-nan
1581134623.496551771,-0.00256007,0.0162873,-1.37436e-13,-nan,-nan,-nan
