timestamp,va1,va2,va3,va4,va5,va6,va7
1581317312.619962038,-0.000909623,-0.00103192,3.82196e-05,-0.00592247,-0.018766,-0.00175809,0.0226947
1581317312.675150918,-0.000589535,-0.00125667,1.29335e-05,-0.00312874,-0.00770987,-0.000572291,0.00914049
1581317312.681222901,-0.0665303,-0.33162,-0.000481897,-0.561474,-1.07369,-0.174754,1.15644
1581317312.687362390,-0.0127304,-0.0725403,9.62938e-05,-0.101747,-0.197246,-0.0234868,0.207038
1581317312.693324929,-0.0129546,-0.0694175,0.000299653,-0.0969248,-0.182391,-0.0217242,0.194079
1581317312.700000352,-0.0121947,-0.0649091,8.12404e-05,-0.0902101,-0.171661,-0.0178814,0.178498
1581317312.706069010,-0.0136,-0.0726163,-0.000109446,-0.0996472,-0.189744,-0.0189923,0.192181
1581317312.712172801,-0.0132369,-0.0700611,-0.000153916,-0.0971794,-0.182684,-0.0186432,0.189462
1581317312.718235879,-0.0140376,-0.0743083,-8.97953e-05,-0.0989613,-0.189291,-0.0185571,0.193064
1581317312.724758022,-0.0170103,-0.0847901,-1.93739e-05,-0.112511,-0.208846,-0.0218275,0.21749
1581317312.730752131,-0.0153935,-0.0732616,9.98901e-05,-0.0997332,-0.181614,-0.0199486,0.193573
1581317312.774227983,-0.0140983,-0.0683715,1.39867e-06,-0.0959454,-0.170485,-0.0239073,0.186033
1581317312.780247661,-0.0142174,-0.0691809,6.23537e-05,-0.101134,-0.176467,-0.0268314,0.194955
1581317312.787006882,-0.0121583,-0.0621582,-1.87087e-05,-0.0893296,-0.161767,-0.0221171,0.176067
1581317312.793407006,-0.0128455,-0.0666519,-0.000125244,-0.0989893,-0.177433,-0.0220413,0.19814
1581317312.799967376,-0.0111833,-0.0604093,-9.68224e-05,-0.0911029,-0.162419,-0.0197814,0.180308
1581317312.806318645,-0.0119388,-0.0649044,-6.21314e-05,-0.0954126,-0.174276,-0.0188091,0.190905
1581317312.812857344,-0.0108367,-0.0623599,0,-0.0892854,-0.16381,-0.0169006,0.177515
1581317312.819205802,-0.0105836,-0.0602355,0.000142002,-0.0880671,-0.158371,-0.0169924,0.173427
1581317312.825235643,-0.0118893,-0.0667645,-2.79319e-05,-0.101343,-0.183034,-0.0215907,0.1967
1581317312.832017258,-0.0102143,-0.0558405,-5.55644e-05,-0.085724,-0.153649,-0.0201785,0.163901
