timestamp,fx,fy,fz,tx,ty,tz
1581153880.869679844,-2.76156,3.42348,-1.90913,2.23225,1.88454,0.209271
1581153880.876058617,-2.60199,3.34106,-1.65048,2.19344,1.84062,0.209647
1581153880.882516103,-2.39717,3.06851,-1.32392,2.11173,1.77434,0.213453
1581153880.888884130,-2.23681,3.01269,-0.719487,2.10678,1.74202,0.212917
1581153880.895782573,-2.12046,3.12819,-0.0713855,2.13704,1.72589,0.212015
1581153880.901998209,-1.91988,3.34355,0.679348,2.17996,1.69661,0.211292
1581153880.908682051,-1.92117,3.48284,0.932284,2.20835,1.68882,0.211062
1581153880.915124571,-1.89047,3.67031,1.08497,2.25484,1.68286,0.211103
1581153880.922880535,-1.69133,3.69738,1.33113,2.2428,1.62644,0.21427
1581153880.962765368,-2.36815,3.22596,0.839913,2.19733,1.59382,0.211321
1581153880.969005447,-2.53365,3.39459,0.593107,2.26751,1.63206,0.207463
1581153880.975156159,-2.54599,3.37264,0.570712,2.24433,1.6083,0.20938
1581153880.981743446,-2.43337,3.54423,0.687505,2.28944,1.6055,0.206413
1581153880.987928178,-2.36654,3.54031,0.917031,2.2816,1.58286,0.205943
1581153880.994529481,-2.52874,3.64928,1.01806,2.31868,1.60548,0.200392
1581153881.000844453,-2.35791,3.61064,1.23269,2.29904,1.57044,0.199081
1581153881.007014778,-1.9448,3.6154,1.63939,2.29047,1.51153,0.198343
1581153881.013644079,-1.79578,3.53503,1.87428,2.27071,1.48288,0.197886
1581153881.020929973,-2.36843,3.71378,1.73122,2.36237,1.57654,0.186777
1581153881.027740043,-2.54526,3.73414,1.40039,2.37411,1.59335,0.18636
1581153881.067719054,-2.41874,3.97686,1.77578,2.44043,1.54611,0.191803
1581153881.074161607,-2.21333,3.87182,1.94534,2.40927,1.5016,0.193793
1581153881.080561883,-2.17433,3.7807,2.14421,2.394,1.48374,0.196175
1581153881.086986065,-2.51767,3.67513,2.01033,2.38028,1.50419,0.196198
1581153881.093648701,-2.64279,3.6908,1.80742,2.39597,1.51822,0.197157
1581153881.100059794,-2.30251,3.46691,1.93891,2.28873,1.42017,0.20706
1581153881.106903939,-2.36115,3.47038,2.01685,2.31493,1.4353,0.20712
1581153881.113614759,-2.24823,3.47638,2.0995,2.33192,1.42686,0.207005
1581153881.119898469,-2.56882,3.66482,1.98833,2.40388,1.48734,0.202328
1581153881.126466553,-2.61885,3.63983,1.88377,2.38165,1.47579,0.201952
1581153881.132754807,-2.6174,3.75087,1.83581,2.41027,1.48235,0.199013
1581153881.139988347,-2.34743,3.79384,2.26239,2.42587,1.4584,0.195228
1581153881.180046523,-2.98387,4.15777,1.69631,2.56036,1.58768,0.169839
1581153881.186516157,-3.09486,4.11143,1.45435,2.5567,1.59826,0.168361
1581153881.192856781,-2.89375,4.05607,1.46573,2.52065,1.55913,0.171496
1581153881.198972550,-2.8797,3.94591,1.4818,2.49077,1.54661,0.17102
1581153881.205776545,-2.82757,3.86825,1.71646,2.47118,1.53087,0.171907
1581153881.211935593,-2.8076,3.84163,1.86656,2.48018,1.53376,0.168594
1581153881.219723677,-2.57053,3.87776,1.83626,2.48159,1.50772,0.169632
1581153881.225941027,-2.36832,3.74928,2.15051,2.42534,1.45933,0.172994
1581153881.232696014,-2.48408,3.80977,2.27564,2.45698,1.48756,0.17099
1581153881.239133404,-2.5365,3.92972,2.25037,2.51255,1.51916,0.166706
1581153881.279730570,-3.06837,4.46854,1.28879,2.74878,1.72569,0.153341
1581153881.286078293,-2.90345,4.50579,1.25487,2.76418,1.72761,0.151779
1581153881.292947370,-2.70998,4.49976,1.4768,2.75352,1.71229,0.153447
1581153881.299592721,-2.72374,4.52889,1.60906,2.77762,1.73727,0.151292
1581153881.306056611,-2.76404,4.63202,1.47413,2.82309,1.77244,0.148674
1581153881.312109481,-2.76492,4.72597,1.40652,2.84919,1.79395,0.147752
1581153881.319707100,-2.49675,4.55397,1.53381,2.77828,1.74506,0.156027
1581153881.326132592,-2.19821,4.48247,1.60646,2.75137,1.71718,0.162185
1581153881.335298225,-2.12252,4.43769,1.69215,2.75761,1.72601,0.163669
1581153881.339056157,-2.40067,4.46694,1.35405,2.79403,1.78745,0.164153
1581153881.379105218,-2.23872,4.509,1.28394,2.80577,1.78566,0.167065
1581153881.385896262,-2.25671,4.77572,1.30764,2.91107,1.86655,0.166746
1581153881.391972391,-2.27199,4.71632,1.3618,2.90074,1.85881,0.166461
1581153881.398731288,-2.35214,4.74943,1.37423,2.92991,1.87301,0.163509
1581153881.405020278,-2.42103,4.82992,1.08575,2.96994,1.88925,0.159601
1581153881.411885796,-2.322,4.81722,1.12081,2.94837,1.85612,0.16024
1581153881.419067362,-2.08666,4.7533,1.58799,2.90323,1.79303,0.16225
1581153881.425890108,-1.98391,4.73464,1.77928,2.89911,1.76918,0.15962
1581153881.432676516,-2.01887,4.86252,1.89086,2.95435,1.78168,0.153011
1581153881.438801556,-2.05303,4.97077,2.0221,2.98418,1.78309,0.147597
1581153881.445103695,-2.24933,5.02013,2.05034,2.97969,1.78269,0.14491
1581153881.484863028,-2.29232,4.60665,1.55375,2.88423,1.68246,0.146294
1581153881.491639991,-2.55845,4.65707,1.50312,2.91902,1.7145,0.144272
1581153881.497879781,-2.60229,4.70395,1.52045,2.93534,1.71435,0.14273
1581153881.504049914,-2.56763,4.83208,1.67832,2.95861,1.70135,0.142332
1581153881.510770919,-2.71177,4.91309,1.79204,2.9789,1.71045,0.140329
1581153881.518501288,-2.4103,4.90339,1.9385,2.94686,1.64696,0.14478
1581153881.524837908,-2.4018,4.94687,2.04732,2.96542,1.64243,0.143147
1581153881.531101534,-2.54263,4.85012,2.03018,2.95601,1.64334,0.141634
1581153881.537449509,-2.47668,4.83498,2.14878,2.95315,1.62397,0.142335
1581153881.543925347,-2.3729,4.83719,2.21022,2.963,1.60894,0.142599
1581153881.550052893,-2.43809,4.84583,2.24211,2.96134,1.60172,0.144739
1581153881.590758640,-3.00048,4.9198,2.01182,3.01671,1.63736,0.138793
