timestamp,ta1,ta2,ta3,ta4,ta5,ta6,ta7
1581309533.156372716,0.78446,49.0197,-1.76634,-22.7124,1.16386,0.822364,-0.45457
1581309533.162196608,0.753596,50.3109,-1.84834,-23.187,1.16826,0.84339,-0.443222
1581309533.168973805,0.5787,51.3242,-2.00562,-23.4464,1.19819,0.840053,-0.446226
1581309533.175187349,0.388372,51.9518,-2.13064,-23.5781,1.18058,0.818693,-0.438216
1581309533.214239112,0.653288,51.1699,-1.90211,-23.316,1.21404,0.78465,-0.377807
1581309533.220879381,0.60442,50.3443,-1.94647,-23.2138,1.19203,0.73125,-0.358783
1581309533.228186155,0.393516,49.3952,-2.04595,-22.8106,1.19995,0.733252,-0.350773
1581309533.234347223,0.010288,49.2332,-2.13064,-23.0391,1.21932,0.724241,-0.348437
1581309533.240870370,-0.156892,49.3078,-2.27178,-23.3523,1.16209,0.729247,-0.360786
1581309533.250705598,-0.367796,48.7728,-2.44519,-22.8643,1.14273,0.679518,-0.31139
1581309533.290421072,1.27828,48.7317,-1.68703,-22.992,1.19115,0.702214,-0.302379
1581309533.297024773,0.933635,48.6159,-1.73946,-23.4141,1.17882,0.7446,-0.306718
1581309533.303264693,0.624996,48.8448,-1.86447,-23.5526,1.21844,0.729581,-0.327744
1581309533.310037818,0.336932,48.5799,-2.06746,-23.1359,1.19907,0.73659,-0.306384
1581309533.316236245,-0.010288,48.261,-2.24221,-23.0028,1.14449,0.745601,-0.297039
1581309533.322935063,-0.208332,48.4873,-2.2906,-22.9907,1.24309,0.705885,-0.281019
1581309533.329316139,-0.0925919,48.5748,-2.2086,-23.1211,1.18763,0.746936,-0.309722
1581309533.335889970,-0.056584,48.5902,-2.20995,-23.0068,1.24133,0.73659,-0.280685
1581309533.343251253,0.293208,48.7985,-1.9868,-23.0539,1.19291,0.725242,-0.283689
1581309533.349876251,0.303496,48.8217,-2.05805,-22.992,1.10927,0.75528,-0.300377
1581309533.356224281,0.344648,48.9246,-2.07552,-23.0525,1.15153,0.788655,-0.293034
1581309533.399848336,0.614708,48.6776,-2.05536,-22.8617,1.09695,0.773636,-0.27668
1581309533.406120852,0.740736,48.5336,-1.92631,-22.8657,1.13656,0.775639,-0.263664
1581309533.412813555,0.643,48.4204,-1.77575,-22.8926,1.14009,0.764291,-0.274344
1581309533.418994205,0.709872,48.1195,-1.8349,-23.1184,1.13656,0.766961,-0.27935
1581309533.426328115,0.570984,48.3819,-1.9048,-23.2421,1.15153,0.778643,-0.313727
1581309533.433083449,0.550408,48.3613,-1.90749,-22.8859,1.1797,0.782981,-0.296038
1581309533.439752387,0.401232,48.3922,-1.9626,-23.0781,1.19731,0.75528,-0.254986
1581309533.445955765,0.416664,48.7265,-1.9989,-23.3563,1.19291,0.762956,-0.244306
1581309533.452310403,0.447528,48.7754,-1.95319,-23.1318,1.23429,0.764959,-0.262329
1581309533.459082675,0.537548,48.5928,-1.98008,-22.945,1.20259,0.783315,-0.268336
1581309533.465201856,0.545264,48.5182,-1.97739,-23.1547,1.16562,0.788321,-0.265666
1581309533.471917745,0.455244,48.8911,-2.00159,-23.1776,1.10399,0.76062,-0.258658
1581309533.515487903,0.63014,48.2713,-1.88598,-23.1641,1.20523,0.774971,-0.243305
1581309533.522134995,0.864192,48.0346,-1.81339,-23.0136,1.229,0.752944,-0.259325
1581309533.529921924,0.982503,48.1838,-1.76366,-22.9369,1.20523,0.751275,-0.241636
1581309533.536766653,0.869336,48.3433,-1.91018,-23.0472,1.1753,0.761288,-0.248311
1581309533.543035074,0.583844,48.2147,-2.02847,-23.1399,1.22724,0.765626,-0.243972
1581309533.549685007,0.491252,48.0166,-1.98546,-23.0283,1.24397,0.759619,-0.243972
1581309533.589125845,0.342076,48.2533,-2.04595,-23.0337,1.21052,0.80868,-0.229955
1581309533.595219398,0.383228,48.3253,-2.0809,-23.0956,1.15241,0.796999,-0.248979
1581309533.601909839,0.272632,48.3227,-2.11182,-23.1668,1.19731,0.82737,-0.240969
1581309533.608179342,0.298352,48.153,-2.11719,-22.8791,1.2114,0.802005,-0.242304
1581309533.615357420,0.468104,47.834,-2.09972,-22.8079,1.16738,0.826703,-0.249646
1581309533.658253845,0.751024,47.852,-1.97605,-23.3039,1.24133,0.878768,-0.231957
1581309533.664944173,0.483536,47.9523,-2.07821,-23.0915,1.23605,0.834713,-0.24197
1581309533.671823841,0.609564,47.8443,-2.03654,-23.1332,1.22372,0.861079,-0.249646
1581309533.678119614,0.74588,47.9523,-1.93438,-23.3832,1.26422,0.888113,-0.235629
1581309533.684353926,0.846188,47.9652,-1.81474,-23.1023,1.27038,0.853403,-0.216939
1581309533.690945486,0.959355,47.5871,-1.765,-23.1077,1.23781,0.878768,-0.238299
1581309533.697294154,0.954211,47.6077,-1.76231,-23.1776,1.21316,0.841722,-0.247977
1581309533.736813527,0.236624,47.6334,-2.1508,-22.9342,1.19907,0.842723,-0.225282
1581309533.742937516,0.547836,47.546,-2.04057,-23.0942,1.2246,0.833712,-0.2393
1581309533.749291015,0.632712,47.8006,-1.9411,-23.2327,1.17354,0.870424,-0.245307
1581309533.755320011,0.74588,47.7594,-1.91421,-23.3348,1.20435,0.862748,-0.229621
1581309533.761888462,0.815324,47.7774,-1.88329,-23.4477,1.22812,0.870758,-0.242304
1581309533.908142399,0.666148,47.2502,-1.9411,-23.3348,1.24485,0.886778,-0.223614
1581309533.914365212,0.586416,46.9827,-1.94782,-23.3093,1.25718,0.878101,-0.223947
1581309533.920991221,0.570984,46.8104,-1.98546,-22.8832,1.28799,0.869757,-0.200585
1581309533.928297166,0.47582,46.5763,-2.00562,-22.9584,1.25894,0.851401,-0.240969
1581309533.935007004,0.447528,46.8001,-1.97067,-23.2905,1.3188,0.872761,-0.215937
1581309533.941331773,0.5144,46.8953,-1.9747,-23.32,1.28975,0.883107,-0.254319
1581309533.948114770,0.486108,46.7281,-1.98815,-23.2354,1.28359,0.893787,-0.224615
1581309533.954329913,0.470676,46.7049,-1.99487,-23.1493,1.21932,0.880437,-0.24197
1581309533.961063479,0.532404,46.6792,-1.93572,-23.0619,1.24309,0.882439,-0.19925
1581309533.967726144,0.663576,46.7692,-1.92093,-23.1144,1.19907,0.888447,-0.217272
1581309533.973927875,0.658432,46.8284,-1.89674,-23.0835,1.24661,0.874763,-0.212266
1581309534.017288843,0.751024,46.9801,-1.87523,-23.3913,1.23252,0.922156,-0.21527
1581309534.025852431,0.787032,47.0161,-1.87523,-23.2878,1.22724,0.947521,-0.229621
1581309534.032379983,0.709872,46.4014,-1.87388,-22.8643,1.21492,0.922156,-0.236296
1581309534.039089424,0.712444,46.2754,-1.85372,-22.8993,1.23341,0.933837,-0.22061
1581309534.045820634,0.769028,46.368,-1.79592,-23.031,1.26158,0.9305,-0.213935
1581309534.052180272,0.769028,46.4297,-1.80129,-23.2461,1.28711,0.962206,-0.186901
1581309534.058999308,0.805036,46.4426,-1.81339,-23.5217,1.26686,0.968881,-0.214269
1581309534.065226031,0.779316,46.2805,-1.8228,-23.2636,1.25365,0.942849,-0.20192
1581309534.071899837,0.622424,46.2394,-1.83356,-22.9168,1.28271,0.918485,-0.216939
1581309534.078243812,0.522116,46.2034,-1.88464,-23.0835,1.25894,0.948522,-0.215604
1581309534.084950889,0.439812,46.6355,-1.94916,-23.3348,1.29151,0.96521,-0.194911
1581309534.091208964,0.56584,46.4323,-1.94379,-23.1292,1.25982,0.923491,-0.213935
1581309534.135234403,0.537548,46.0593,-1.94244,-22.906,1.26158,0.914146,-0.194577
1581309534.142067071,0.511828,46.1854,-1.93572,-23.0028,1.2607,0.94919,-0.20459
