timestamp,pa1,pa2,pa3,pa4,pa5,pa6,pa7
1581155460.642909918,-0.145781,0.49402,0.234341,-1.19681,0.484964,-0.130132,-0.59181
1581155460.649149862,-0.145837,0.49377,0.234342,-1.19724,0.484341,-0.130263,-0.591114
1581155460.655646115,-0.145892,0.493526,0.234342,-1.19765,0.483757,-0.130373,-0.590449
1581155460.661803389,-0.145954,0.49325,0.234342,-1.19809,0.483109,-0.130484,-0.589768
1581155460.705124811,-0.146033,0.492883,0.234342,-1.19865,0.482294,-0.130609,-0.588876
1581155460.711687682,-0.146559,0.490008,0.234339,-1.20262,0.476463,-0.131838,-0.582586
1581155460.718084499,-0.146634,0.489565,0.23434,-1.20321,0.475602,-0.132009,-0.581655
1581155460.724128753,-0.146718,0.489046,0.23434,-1.2039,0.474602,-0.132173,-0.580558
1581155460.730909369,-0.146789,0.488602,0.23434,-1.20449,0.473745,-0.13229,-0.579637
1581155460.738156567,-0.146868,0.488091,0.23434,-1.20517,0.472779,-0.13243,-0.578574
1581155460.744933644,-0.146943,0.487593,0.23434,-1.20585,0.471843,-0.132575,-0.577559
1581155460.751545300,-0.147006,0.487169,0.23434,-1.20643,0.471039,-0.132696,-0.576665
1581155460.757821099,-0.147077,0.486684,0.23434,-1.20711,0.470092,-0.132844,-0.575661
1581155460.764183126,-0.147148,0.486219,0.23434,-1.20779,0.469172,-0.133005,-0.574636
1581155460.770745341,-0.147209,0.485836,0.234341,-1.20837,0.468392,-0.13316,-0.573787
1581155460.777035939,-0.147268,0.485458,0.234341,-1.20893,0.4676,-0.133324,-0.572916
1581155460.820159690,-0.147767,0.482682,0.23434,-1.213,0.461889,-0.13447,-0.566541
1581155460.826860024,-0.147835,0.482312,0.234339,-1.21357,0.461098,-0.134597,-0.565677
1581155460.833164208,-0.147915,0.481889,0.234339,-1.21422,0.460181,-0.134755,-0.56467
1581155460.841100452,-0.147993,0.481468,0.234339,-1.21487,0.459285,-0.134923,-0.563664
1581155460.847700825,-0.148072,0.481037,0.23434,-1.21551,0.458397,-0.135104,-0.562658
1581155460.853947000,-0.148138,0.480654,0.23434,-1.21607,0.457625,-0.135274,-0.561791
1581155460.860682492,-0.148217,0.480221,0.23434,-1.21673,0.456735,-0.135474,-0.560786
1581155460.867033757,-0.148289,0.479854,0.23434,-1.21728,0.455978,-0.13564,-0.559935
1581155460.873810585,-0.148373,0.479425,0.23434,-1.21793,0.455092,-0.135831,-0.558948
1581155460.880042102,-0.148446,0.479052,0.234341,-1.21848,0.454329,-0.135989,-0.558139
1581155460.886865607,-0.148531,0.478606,0.234341,-1.21912,0.453453,-0.136143,-0.557166
1581155460.932177393,-0.148606,0.478226,0.23434,-1.21968,0.452703,-0.136261,-0.556354
1581155460.937059375,-0.149135,0.475448,0.23434,-1.22376,0.447213,-0.137186,-0.550351
1581155460.943592551,-0.149212,0.474998,0.23434,-1.22441,0.44637,-0.137412,-0.54938
1581155460.951705425,-0.149288,0.474558,0.23434,-1.22506,0.445512,-0.137639,-0.548423
1581155460.958138893,-0.149366,0.474118,0.23434,-1.22571,0.444651,-0.137857,-0.547464
1581155460.964684511,-0.149445,0.473681,0.23434,-1.22636,0.443793,-0.138066,-0.546514
1581155460.971049335,-0.149513,0.473304,0.23434,-1.22691,0.443067,-0.138208,-0.545698
1581155461.011027601,-0.15001,0.470797,0.234341,-1.23063,0.438332,-0.139041,-0.540294
1581155461.017667142,-0.150095,0.47036,0.23434,-1.23128,0.437521,-0.139218,-0.539343
1581155461.023797990,-0.150168,0.469988,0.23434,-1.23184,0.436823,-0.139376,-0.538561
1581155461.030143661,-0.150252,0.469548,0.23434,-1.23248,0.435992,-0.139563,-0.53762
1581155461.037934544,-0.150336,0.469104,0.234341,-1.23313,0.435164,-0.139749,-0.536706
1581155461.080974657,-0.150861,0.466475,0.234339,-1.23704,0.430322,-0.140636,-0.531286
1581155461.087863099,-0.15096,0.465982,0.234339,-1.23778,0.42938,-0.140801,-0.530258
1581155461.093989246,-0.151031,0.465611,0.234339,-1.23833,0.428685,-0.140952,-0.529466
1581155461.100868606,-0.151113,0.465166,0.23434,-1.23897,0.427886,-0.141159,-0.528569
1581155461.107135673,-0.151178,0.464786,0.23434,-1.23953,0.427205,-0.141347,-0.527783
1581155461.113849866,-0.151252,0.464346,0.23434,-1.24016,0.426392,-0.141562,-0.526884
1581155461.120106736,-0.151321,0.463916,0.23434,-1.2408,0.425588,-0.141778,-0.525983
1581155461.126704257,-0.15138,0.463544,0.23434,-1.24134,0.424905,-0.141962,-0.52522
1581155461.140949788,-0.151437,0.46316,0.23434,-1.24189,0.424226,-0.142105,-0.524455
1581155461.147668026,-0.151578,0.462215,0.23434,-1.24327,0.422531,-0.1424,-0.522565
1581155461.153837834,-0.151636,0.461845,0.23434,-1.24381,0.42186,-0.142521,-0.521814
1581155461.198267030,-0.151703,0.461413,0.23434,-1.24445,0.421076,-0.142665,-0.52095
1581155461.203789208,-0.152186,0.458722,0.23434,-1.24836,0.41623,-0.143716,-0.515631
1581155461.209956897,-0.152257,0.458349,0.234339,-1.2489,0.415585,-0.143871,-0.514916
1581155461.216648227,-0.152337,0.457914,0.234339,-1.24954,0.414835,-0.144037,-0.514052
1581155461.222905416,-0.152408,0.457539,0.234339,-1.25008,0.414184,-0.144164,-0.513335
1581155461.229619724,-0.152491,0.457096,0.23434,-1.25071,0.41342,-0.144305,-0.512483
1581155461.237788594,-0.152575,0.456653,0.234341,-1.25135,0.412661,-0.144441,-0.511619
1581155461.244124632,-0.152662,0.456217,0.23434,-1.25199,0.411907,-0.144586,-0.510773
1581155461.250599185,-0.152749,0.455782,0.23434,-1.25262,0.411141,-0.144736,-0.5099
1581155461.257030472,-0.152824,0.455401,0.23434,-1.25316,0.410499,-0.144876,-0.509178
1581155461.309220803,-0.153453,0.452088,0.234339,-1.25795,0.405038,-0.146214,-0.502788
1581155461.315809285,-0.153515,0.451711,0.23434,-1.25848,0.404406,-0.146345,-0.502082
1581155461.359859923,-0.153961,0.448933,0.23434,-1.26242,0.399911,-0.147408,-0.497006
1581155461.366801981,-0.154043,0.4485,0.234341,-1.26305,0.399203,-0.147581,-0.49619
1581155461.373482912,-0.154127,0.448064,0.234341,-1.26368,0.398465,-0.147756,-0.495412
1581155461.379858273,-0.154202,0.447685,0.234341,-1.26422,0.397829,-0.147896,-0.494719
