timestamp,pa1,pa2,pa3,pa4,pa5,pa6,pa7
1581137023.706352688,-0.145412,0.494704,0.234354,-1.1964,0.482987,-0.130693,-0.590385
1581137023.707456303,-0.145422,0.494672,0.234354,-1.1966,0.482471,-0.130814,-0.589616
1581137023.714447749,-0.145436,0.49462,0.234354,-1.19673,0.482184,-0.130857,-0.589216
1581137023.721224622,-0.145463,0.494517,0.234354,-1.19694,0.481801,-0.130911,-0.588746
1581137023.728076606,-0.145497,0.494399,0.234354,-1.19718,0.481405,-0.130967,-0.588314
1581137023.734617416,-0.145543,0.494222,0.234354,-1.19752,0.480866,-0.131072,-0.587748
1581137023.741494646,-0.145596,0.493995,0.234354,-1.19793,0.480251,-0.13121,-0.587088
1581137023.748348941,-0.145658,0.493722,0.234354,-1.1984,0.479573,-0.131361,-0.586366
1581137023.754703604,-0.145716,0.493459,0.234353,-1.19884,0.478953,-0.131503,-0.585727
1581137023.761339642,-0.145786,0.493112,0.234353,-1.1994,0.478175,-0.131672,-0.584885
1581137023.767821331,-0.145858,0.492716,0.234352,-1.19999,0.477321,-0.131845,-0.583968
1581137023.775467739,-0.145933,0.492276,0.234352,-1.20063,0.476399,-0.132019,-0.582958
1581137023.818465356,-0.146417,0.489191,0.234354,-1.20489,0.470333,-0.132984,-0.576416
1581137023.825259721,-0.146505,0.488678,0.234355,-1.20559,0.469377,-0.133172,-0.575368
1581137023.832186577,-0.146581,0.488242,0.234356,-1.20619,0.468573,-0.133344,-0.574473
1581137023.839349968,-0.146682,0.487678,0.234356,-1.20698,0.467494,-0.133576,-0.573291
1581137023.846644190,-0.146768,0.487187,0.234356,-1.20765,0.466557,-0.133785,-0.572263
1581137023.853152693,-0.14685,0.486706,0.234355,-1.20833,0.465657,-0.133988,-0.571247
1581137023.859684199,-0.146931,0.486241,0.234354,-1.20898,0.46476,-0.134179,-0.570229
1581137023.866619287,-0.146998,0.485855,0.234353,-1.20954,0.46398,-0.134317,-0.569361
1581137023.873353217,-0.147074,0.485411,0.234354,-1.21019,0.463071,-0.134466,-0.568344
1581137023.880110695,-0.147139,0.48502,0.234354,-1.21074,0.462297,-0.134589,-0.567491
1581137023.886383533,-0.147216,0.484566,0.234354,-1.21138,0.461385,-0.134738,-0.566488
1581137023.929233750,-0.147326,0.483943,0.234354,-1.2123,0.460093,-0.13496,-0.565064
1581137023.937599278,-0.14781,0.481503,0.234353,-1.21601,0.455046,-0.135999,-0.559384
1581137023.944328439,-0.147903,0.481016,0.234354,-1.21676,0.454034,-0.136186,-0.558299
1581137023.951119704,-0.147971,0.480635,0.234353,-1.21731,0.453286,-0.136313,-0.557463
1581137023.957439049,-0.148051,0.480199,0.234353,-1.21797,0.452414,-0.136459,-0.556503
1581137023.964193072,-0.148128,0.479767,0.234354,-1.21862,0.451533,-0.136595,-0.55554
1581137023.970485466,-0.148196,0.479401,0.234355,-1.21917,0.450776,-0.136715,-0.554723
1581137023.977233653,-0.148276,0.478968,0.234357,-1.21981,0.4499,-0.136869,-0.553776
1581137024.017484550,-0.148756,0.476473,0.234353,-1.22354,0.444941,-0.137987,-0.548324
1581137024.024179979,-0.148842,0.476032,0.234352,-1.22419,0.444098,-0.138172,-0.547368
1581137024.030327963,-0.148915,0.475663,0.234353,-1.22475,0.443378,-0.13831,-0.546559
1581137024.038378246,-0.148996,0.475222,0.234354,-1.2254,0.442524,-0.138466,-0.545607
1581137024.081707059,-0.149465,0.472454,0.234354,-1.22948,0.437332,-0.139496,-0.539657
1581137024.088459253,-0.149542,0.472015,0.234354,-1.23013,0.436511,-0.139682,-0.538741
1581137024.095210950,-0.149624,0.471576,0.234354,-1.23078,0.435674,-0.139862,-0.537797
1581137024.101435620,-0.149698,0.471197,0.234355,-1.23133,0.434969,-0.140006,-0.537013
1581137024.108228443,-0.149783,0.470751,0.234354,-1.23198,0.434165,-0.140161,-0.536114
1581137024.114426451,-0.149858,0.470375,0.234354,-1.23253,0.433479,-0.140289,-0.53534
1581137024.121263390,-0.149945,0.469938,0.234354,-1.23318,0.43266,-0.140434,-0.534465
1581137024.127467149,-0.150019,0.469561,0.234354,-1.23373,0.431963,-0.14056,-0.533683
1581137024.134273012,-0.150104,0.469116,0.234354,-1.23438,0.431155,-0.14071,-0.532806
1581137024.141534401,-0.150187,0.468674,0.234353,-1.23502,0.43035,-0.140868,-0.531902
1581137024.148414889,-0.150272,0.468239,0.234353,-1.23567,0.429522,-0.141039,-0.531009
1581137024.191682002,-0.150356,0.467808,0.234354,-1.23632,0.428706,-0.141232,-0.530109
1581137024.198707519,-0.15089,0.465093,0.234354,-1.24026,0.423796,-0.142349,-0.524597
1581137024.205377168,-0.150975,0.464644,0.234354,-1.24091,0.422994,-0.142501,-0.523701
1581137024.212108698,-0.151056,0.464206,0.234354,-1.24156,0.422208,-0.142652,-0.522817
1581137024.219386840,-0.151135,0.463772,0.234354,-1.24219,0.421424,-0.14281,-0.521912
1581137024.225506730,-0.151198,0.463396,0.234354,-1.24274,0.420752,-0.142952,-0.521157
1581137024.232362793,-0.15127,0.462944,0.234354,-1.24339,0.419963,-0.143122,-0.520262
