timestamp,pa1,pa2,pa3,pa4,pa5,pa6,pa7
1581136648.562200667,-0.145523,0.494531,0.234354,-1.1969,0.481838,-0.130898,-0.588845
1581136648.568788912,-0.145564,0.494398,0.234353,-1.19718,0.481388,-0.130961,-0.588347
1581136648.575809335,-0.145614,0.494225,0.234353,-1.19752,0.480857,-0.131037,-0.58779
1581136648.582065934,-0.145661,0.494037,0.234353,-1.19786,0.480345,-0.131111,-0.587237
1581136648.589068440,-0.145716,0.493772,0.234353,-1.19831,0.47969,-0.131228,-0.586525
1581136648.595171860,-0.145765,0.493516,0.234352,-1.19874,0.479089,-0.131363,-0.5859
1581136648.602109632,-0.145823,0.493181,0.23435,-1.19928,0.478339,-0.131539,-0.585083
1581136648.608908141,-0.145883,0.492796,0.23435,-1.19986,0.477516,-0.131721,-0.584184
1581136648.615862088,-0.145957,0.492368,0.234351,-1.20048,0.476615,-0.131903,-0.583203
1581136648.660480671,-0.146527,0.48924,0.234352,-1.20483,0.470424,-0.13292,-0.576538
1581136648.667082079,-0.14662,0.48873,0.234352,-1.20552,0.469459,-0.133102,-0.575492
1581136648.673720632,-0.146708,0.488224,0.234353,-1.20622,0.468519,-0.133307,-0.574448
1581136648.680057221,-0.146782,0.487802,0.234353,-1.20681,0.467708,-0.133481,-0.573565
1581136648.686849493,-0.146862,0.487312,0.234355,-1.20748,0.466763,-0.13369,-0.572522
1581136648.693291358,-0.146929,0.486894,0.234355,-1.20807,0.465982,-0.133867,-0.571651
1581136648.700053672,-0.147004,0.486421,0.234353,-1.20873,0.465085,-0.13407,-0.570612
1581136648.706827616,-0.147077,0.485967,0.234354,-1.20939,0.464173,-0.134248,-0.569595
1581136648.713161985,-0.14714,0.485588,0.234354,-1.20994,0.463391,-0.134377,-0.568707
1581136648.753369079,-0.147601,0.483073,0.234353,-1.21362,0.458264,-0.135275,-0.563024
1581136648.761119655,-0.147686,0.482629,0.234353,-1.21427,0.457376,-0.135463,-0.562032
1581136648.805433696,-0.147781,0.482144,0.234352,-1.21501,0.456367,-0.135671,-0.560886
1581136648.811889591,-0.148278,0.47944,0.234354,-1.21906,0.450847,-0.136665,-0.554768
1581136648.818472458,-0.148359,0.479008,0.234354,-1.2197,0.449969,-0.136815,-0.553817
1581136648.827813735,-0.148442,0.478565,0.234353,-1.22034,0.449086,-0.136985,-0.552857
1581136648.834130551,-0.148536,0.478064,0.234353,-1.22107,0.448073,-0.137198,-0.55178
1581136648.841092331,-0.148621,0.477632,0.234353,-1.22173,0.447196,-0.1374,-0.550817
1581136648.847834331,-0.148706,0.477194,0.234353,-1.22238,0.446327,-0.137607,-0.549861
1581136648.854301562,-0.148779,0.476816,0.234353,-1.22293,0.445582,-0.137777,-0.549025
1581136648.861154048,-0.148865,0.476373,0.234353,-1.22358,0.444725,-0.137974,-0.548072
1581136648.867883739,-0.148947,0.475932,0.234353,-1.22423,0.443879,-0.138159,-0.547111
1581136648.874292362,-0.149016,0.475557,0.234353,-1.22479,0.443161,-0.138297,-0.546304
1581136648.880885638,-0.149091,0.475118,0.234353,-1.22544,0.442314,-0.138451,-0.545354
1581136648.924179200,-0.14955,0.472408,0.234354,-1.22942,0.437268,-0.139432,-0.539569
1581136648.930811091,-0.149632,0.471967,0.234354,-1.23007,0.436445,-0.13962,-0.538685
