timestamp,ta1,ta2,ta3,ta4,ta5,ta6,ta7
1581138992.954488618,-0.2572,52.3556,-2.35378,-23.601,1.31176,0.999586,-0.313059
1581138992.962148901,-0.365224,52.0392,-2.39545,-23.4518,1.33025,0.980896,-0.312058
1581138992.969261445,-0.105452,51.7872,-2.24355,-23.433,1.31528,0.979895,-0.316397
1581138992.975335389,0.20576,50.8253,-1.99487,-23.0176,1.32496,0.96521,-0.305049
1581138992.982208993,0.447528,50.3443,-1.85372,-22.828,1.28799,0.945185,-0.314394
1581138992.988508708,0.439812,49.4801,-1.87388,-22.7958,1.30207,0.942849,-0.299042
1581138992.995213708,0.298352,49.3155,-1.97605,-22.8751,1.29327,0.922156,-0.296371
1581138993.002162343,0.079732,49.1483,-2.0809,-23.1426,1.29327,0.968881,-0.28469
1581138993.008586665,-0.118312,48.7882,-2.16424,-23.027,1.29151,0.946186,-0.301044
1581138993.047474822,-0.174896,48.5928,-2.14542,-22.9342,1.3188,0.940846,-0.291031
1581138993.054230946,0.568412,49.6756,-1.84162,-23.3442,1.31616,1.00092,-0.28202
1581138993.060273432,0.401232,49.2126,-1.93975,-23.2246,1.31088,1.01127,-0.275011
1581138993.105671802,0.352364,48.6956,-1.9169,-22.949,1.32232,0.995915,-0.273676
1581138993.112626327,0.34722,49.1869,-1.90749,-23.1923,1.34873,1.00626,-0.282354
1581138993.119323393,0.280348,49.5496,-2.01503,-23.4612,1.36282,1.03597,-0.270005
1581138993.126097137,0.195472,49.3644,-2.09434,-23.1359,1.35226,0.982231,-0.27134
1581138993.133578283,0.246912,49.1663,-2.05805,-22.9759,1.34433,0.976224,-0.25532
1581138993.140379691,0.259772,49.1175,-1.9989,-23.0041,1.34081,0.98924,-0.264999
1581138993.147263247,0.2572,49.2512,-1.98142,-23.191,1.34785,0.992244,-0.258991
1581138993.153417323,0.306068,49.5496,-2.02847,-23.644,1.3505,1.01694,-0.289029
1581138993.160259972,0.362652,49.5161,-2.011,-23.3483,1.32056,1.0086,-0.284356
1581138993.166581634,0.401232,49.1792,-1.93572,-23.2475,1.32849,1.02495,-0.29804
1581138993.173410901,0.432096,48.8242,-1.88329,-23.109,1.33025,1.01995,-0.296371
1581138993.217333067,0.21862,48.7137,-2.00965,-23.066,1.3232,1.02595,-0.266668
1581138993.224298540,0.234052,48.5053,-2.03116,-22.8563,1.31088,1.00292,-0.279016
1581138993.232153241,0.228908,48.5825,-2.07418,-23.2891,1.32056,1.02595,-0.273676
