timestamp,va1,va2,va3,va4,va5,va6,va7
1581136889.543506453,-0.000172388,-0.000541992,0,-0.0035529,-0.00929365,-0.00350469,0.0146002
1581136889.583937231,-0.00567667,-0.0218838,4.09388e-06,-0.0413851,-0.067751,-0.0126688,0.0763703
1581136889.590349051,-0.00878297,-0.0419993,-0.000143674,-0.0706661,-0.0998712,-0.0181119,0.106018
1581136889.597255011,-0.00946924,-0.0505576,-0.000130195,-0.0800763,-0.112763,-0.0205789,0.12507
1581136889.603634907,-0.00977533,-0.0587668,-8.83819e-05,-0.0879514,-0.124856,-0.022432,0.135723
1581136889.610507933,-0.0092607,-0.0582088,6.49512e-05,-0.0839402,-0.121818,-0.0211567,0.132155
1581136889.617430613,-0.0106808,-0.0678416,2.63949e-05,-0.0972095,-0.141177,-0.0236403,0.152593
1581136889.623674707,-0.0131311,-0.0729458,0.000187849,-0.102875,-0.148586,-0.0232121,0.159202
1581136889.631545337,-0.0121483,-0.0679203,0.000196551,-0.0939016,-0.135807,-0.0184752,0.141887
1581136889.638421830,-0.0130564,-0.0747698,1.51116e-05,-0.10117,-0.14478,-0.0260522,0.15369
1581136889.644719907,-0.0133097,-0.0752122,3.541e-05,-0.10477,-0.144424,-0.0307256,0.153283
1581136889.651348624,-0.0120121,-0.0703005,-2.8738e-05,-0.0960202,-0.133524,-0.0304805,0.145458
1581136889.695633480,-0.0122249,-0.0705669,-1.7715e-05,-0.0975255,-0.133514,-0.0286484,0.147462
1581136889.702472331,-0.0105211,-0.0631599,3.35292e-05,-0.0909505,-0.127614,-0.0177559,0.142298
1581136889.708738214,-0.0109726,-0.0668895,5.40538e-05,-0.0982037,-0.137148,-0.0192336,0.155688
1581136889.715779505,-0.0108961,-0.0660351,1.73266e-05,-0.0915026,-0.130191,-0.01764,0.146685
1581136889.722359316,-0.0102661,-0.0624355,-0.000192786,-0.0886551,-0.125237,-0.0182188,0.139995
1581136889.728835557,-0.0114053,-0.0633657,0,-0.0942855,-0.132455,-0.0198808,0.146612
1581136889.740651449,-0.0113389,-0.058457,7.84542e-05,-0.0887603,-0.121858,-0.0221495,0.136893
1581136889.747505911,-0.0127023,-0.065331,8.10807e-05,-0.0972128,-0.132377,-0.0326835,0.151328
1581136889.753663426,-0.0126874,-0.0648301,-0.000158708,-0.09665,-0.130997,-0.0323754,0.146906
1581136889.760444434,-0.011425,-0.0567869,-0.000150204,-0.0878231,-0.118497,-0.0283606,0.135288
1581136889.767304912,-0.0120678,-0.061191,2.63497e-05,-0.0952777,-0.128695,-0.0304418,0.143329
1581136889.777704232,-0.0109504,-0.0574754,0.000221461,-0.0891784,-0.120755,-0.0279134,0.135252
1581136889.818722557,-0.0115449,-0.0633289,6.80416e-06,-0.0947335,-0.128312,-0.0245239,0.139801
1581136889.825408788,-0.0102934,-0.0544313,-0.000241996,-0.0804371,-0.11064,-0.0253662,0.114826
1581136889.833164572,-0.0123532,-0.0643068,4.66174e-05,-0.0971944,-0.130189,-0.0313027,0.143049
1581136889.839754210,-0.0124315,-0.0635456,6.11065e-05,-0.0949648,-0.124371,-0.0256574,0.138161
1581136889.846548415,-0.011324,-0.0587878,-9.34299e-05,-0.0866308,-0.114093,-0.0208074,0.130638
